Organisation,Appointments
"Royal Edinburgh Military Tattoo (Charities) Limited - Trustees","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Chief Financial Officer as Hon Treasurer (ex-officio)"
"Royal Lyceum Theatre Company - Non-Executive Directors","Councillor Austin Hart (Labour)
Councillor Lewis (Scottish National Party)"
"Royal Scottish National Orchestra - Board of Directors","Councillor Austin Hart (Labour)
Councillor Fullerton (Scottish National Party)"
"Scotland Exel","Councillor Rankin (Scottish National Party)
Councillor Whyte (Conservative)"
"Scottish Accident Prevention Council","Councillor Dixon (Scottish National Party)
Director of Services for Communities (or nominee)"
"Scottish Chamber Orchestra - Board of Directors","Councillor Lewis (Scottish National Party)"
"Scottish Councils Committee on Radioactive Substances (SOCCORS)","Councillor Gardner (Labour) Substantive member
Councillor McVey (Scottish National Party) Substitute member"
"Scottish Enterprise East of Scotland","Councillor Buchanan (Scottish National Party)"
"Scottish Local Government Forum
Against Poverty","Councillor Ricky Henderson (Labour) Substantive member
Councillor Work (Scottish National Party) Substitute member"
"Scottish National War Memorial ","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)"
"Spartans Community Football Academy - Directors","Councillor Cardownie (Scottish National Party)
Councillor Redpath (Labour)"
"Theatre Workshop (Edinburgh)","Councillor McVey (Scottish National Party)"
"Torness Local Liaison Committee","Councillor Booth (Green Party)
Councillor Dixon (Scottish National Party)
Councillor Gardner (Labour)"
"Transform Scotland - Board","Councillor Hinds (Labour)"
"Traverse Theatre - Observer","Councillor Lewis (Scottish National Party)"
"Veterans Champion","Lord Provost Wilson ( Labour)"
"Volunteer Centre Edinburgh","Councillor Edie (Scottish Liberal Democrats)"
"Waste Recycling Environmental Ltd (Wren) - Advisory Panel","Councillor Cairns (Scottish National Party)"
"Waterfront Edinburgh Limited - Directors","Councillor Ross (Scottish National Party) (Chair)
Councillor Day (Labour)
Councillor Redpath (Labour)
Director of Corporate Governance (or nominee)
Council's Shareholder Representative: CEC Holdings (Chair)"
"WEA Scotland - Observer","Councillor Godzik (Labour)"
"Wester Hailes Land and Property Trust","Councillor Bill Henderson (Scottish National Party)"
"William Brown Nimmo Charitable Trust","Lord Provost ex officio (currently Councillor Wilson  Labour)
Councillor Munro (Labour)"
