"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"Avon Road",Cramond,"Avon Road","Avon Road",111.1,2,Barnton_202
"Baberton Avenue","Juniper Green","Baberton Park","Lanark Road",56.44,1,Bankhead_012
"Baberton Avenue","Juniper Green","Woodhall Terrace","Baberton Park",115.1,1,Bankhead_012
"Baberton Mains Drive","Baberton Mains","Baberton Mains Wood","Baberton Mains Hill",57.86,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Wynd","Baberton Mains Park",243.6,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Park","Baberton Mains Wood",91.43,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Hill","Baberton Mains Gardens",113.9,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Drive","Baberton Mains Wynd",278.4,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains View","Baberton Mains Drive",60.12,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Drive","Baberton Mains View",132.8,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Place","Baberton Mains Drive",93.15,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Terrace","Baberton Mains Place",100.7,1,Bankhead_006
"Baberton Mains Drive","Baberton Mains","Baberton Mains Gardens","Baberton Mains Terrace",135,1,Bankhead_006
"Baberton Mains Hill","Baberton Mains","Baberton Mains Drive","Baberton Mains Lea",169.4,1,Bankhead_006
"Baberton Mains Hill","Baberton Mains","Baberton Mains Lea","Baberton Mains Way",34,1,Bankhead_006
"Baberton Mains View","Baberton Mains","Clovenstone Roundabout","City Of Edinburgh Bypass",123.8,1,Bankhead_006
"Baberton Mains View","Baberton Mains","City Of Edinburgh Bypass","Baberton Mains Drive",101.8,1,Bankhead_006
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Wynd","End of cul de sac",40.79,1,Bankhead_013
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Drive","Baberton Mains Bank",53.85,1,Bankhead_013
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Bank","Baberton Mains Wynd",43.98,1,Bankhead_013
"Baileyfield Crescent","Portobello West","Fishwives' Causeway","Baileyfield Crescent",212.6,1,Blackford_003
"Baileyfield Crescent","Portobello West","Baileyfield Crescent","Sir Harry Lauder Road",152.5,1,Blackford_003
"Baileyfield Road","Portobello West","Sir Harry Lauder Road","Baileyfield Road",60.51,1,Blackford_003
"Baileyfield Road","Portobello West","Baileyfield Road","Baileyfield Road",201.4,1,Blackford_003
"Baileyfield Road","Portobello West","Baileyfield Road","Southfield Place",50.06,1,Blackford_003
"Baird Road",Ratho/newbridge,"Harvest Road","Baird Road",125.9,1,Farmers_001_Ratho
"Baird Road",Ratho/newbridge,"Baird Road","Baird Road",212.7,1,Farmers_001_Ratho
"Baird Road",Ratho/newbridge,"Ratho Park Road","Freelands Road",364.8,1,Farmers_001_Ratho
"Baird Road",Ratho/newbridge,"Baird Road","Freelands Road",237.9,1,Farmers_001_Ratho
"Baker's Place",Stockbridge,"Glanville Place","St Stephen Street",49.42,1,Barnton_008
"Balcarres Street","Easter Craiglockhart","Balcarres Court","Craighouse Gardens",192.3,1,Bankhead_007
"Balcarres Street","Easter Craiglockhart","Balcarres Court","Balcarres Street",38.17,1,Bankhead_007
"Balcarres Street","Easter Craiglockhart","Belhaven Terrace","Bruce Street",315.7,1,Bankhead_007
"Balcarres Street","Easter Craiglockhart","Bruce Street","Balcarres Court",135,1,Bankhead_007
"Balfour Place",Bonnington,"Balfour Street","End of cul de sac",86.24,1,Barnton_018
"Balfour Place",Bonnington,"Balfour Place","End of cul de sac",113,1,Barnton_018
"Balfour Street",Bonnington,"Cambridge Gardens","Balfour Place",60.8,1,Barnton_018
"Balfour Street",Bonnington,"Cambridge Avenue","Cambridge Gardens",46.62,1,Barnton_018
"Balfour Street",Bonnington,"Leith Walk","Cambridge Avenue",123.3,1,Barnton_018
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",13.89,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Baird Drive","Balgreen Road",67.71,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",148,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Gorgie Road","Balgreen Road",41.79,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",70.13,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",21.33,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",42.8,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Stevenson Drive",205.2,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Stevenson Drive","Balgreen Road",26.4,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Saughtonhall Drive","Baird Drive",40.68,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Gorgie Road",45.08,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Whitson Road","Balgreen Road",62.45,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Glendevon Road","Saughtonhall Drive",63.13,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Glendevon Park","Glendevon Road",87.12,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Saughtonhall Avenue West","Glendevon Park",48.27,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Glendevon Avenue","Saughtonhall Avenue West",198.3,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Avenue","Glendevon Avenue",171,1,Bankhead_010
"Balgreen Road",Saughtonhall,"South Beechwood","Balgreen Avenue",48.55,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Corstorphine Road","South Beechwood",61.3,1,Bankhead_010
"Balgreen Road",Saughtonhall,"Balgreen Road","Whitson Road",48.27,1,Bankhead_010
"Balmwell Terrace",Gracemount,"Balmwell Terrace","Captain's Drive",99.58,1,Blackford_011
"Balmwell Terrace",Gracemount,"Balmwell Terrace","Balmwell Terrace",96.12,1,Blackford_011
"Balmwell Terrace",Gracemount,"Howden Hall Road","Balmwell Terrace",51.14,1,Blackford_011
"Baltic Street","South Leith","Assembly Street","Bernard Street",122.5,1,Blackford_003
"Bangholm Villas",Trinity,"Warriston Road","Bangholm Loan",61.85,1,Barnton_005
"Bank Street","Old Town","St Giles Street","High Street",72.89,1,Barnton_009
"Bankhead Avenue","South Gyle","Bankhead Avenue","Calder Road",32.7,1,Bankhead_001
"Bankhead Avenue","South Gyle","Bankhead Avenue","Bankhead Loan",72.57,1,Bankhead_001
"Bankhead Avenue","South Gyle","Calder Road","Bankhead Avenue",35.33,1,Bankhead_003
"Bankhead Avenue","South Gyle","Bankhead Avenue","Bankhead Drive",36.9,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Avenue","Bankhead Drive",35.54,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Crossway North","Bankhead Avenue",220.3,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Medway","Bankhead Crossway North",62.65,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Crossway South","Bankhead Terrace",76.25,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Terrace","Bankhead Medway",77.19,1,Bankhead_009
"Bankhead Avenue","South Gyle","Bankhead Loan","Bankhead Crossway South",210.6,1,Bankhead_009
"Bankhead Broadway","South Gyle","Bankhead Crossway North","Bankhead Medway",63.56,1,Bankhead_009
"Bankhead Broadway","South Gyle","Bankhead Crossway North","Bankhead Drive",184.1,1,Bankhead_009
"Bankhead Broadway","South Gyle","Bankhead Medway","Bankhead Terrace",76.4,1,Bankhead_009
"Bankhead Broadway","South Gyle","Bankhead Terrace","Bankhead Crossway South",75.93,1,Bankhead_009
"Bankhead Crossway North","South Gyle","Bankhead Place","Bankhead Avenue",161.1,1,Bankhead_009
"Bankhead Crossway North","South Gyle","Bankhead Broadway","Bankhead Place",131.7,1,Bankhead_009
"Bankhead Crossway North","South Gyle","Bankhead Drive","Bankhead Broadway",316.8,1,Bankhead_009
"Bankhead Crossway South","South Gyle","Bankhead Avenue","Bankhead Place",161.8,1,Bankhead_009
"Bankhead Crossway South","South Gyle","Bankhead Broadway","Bankhead Street",37.11,1,Bankhead_009
"Bankhead Crossway South","South Gyle","Bankhead Place","Bankhead Broadway",132.5,1,Bankhead_009
"Bankhead Crossway South","South Gyle","Bankhead Street","Bankhead Drive",269.2,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Crossway North","Hermiston Gait",202.8,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Avenue","Bankhead Drive",90.01,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Drive","Broomhouse Road",75.43,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Drive","South Gyle Access",191.9,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Drive","Bankhead Drive",106.6,1,Bankhead_009
"Bankhead Drive","South Gyle","South Gyle Access","Bankhead Drive",298.9,1,Bankhead_009
"Bankhead Drive","South Gyle","South Gyle Access","Bankhead Avenue",86.81,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Avenue","South Gyle Access",87.48,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Drive","Bankhead Avenue",89.86,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Broadway","Bankhead Drive",300.7,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Terrace","Bankhead Crossway South",77,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Way","Bankhead Crossway South",107.3,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Way","Calder Road - SR Bankhead Avenue to Bank",232.6,1,Bankhead_009
"Bankhead Drive","South Gyle","Hermiston Gait","Bankhead Broadway",326.7,1,Bankhead_009
"Bankhead Drive","South Gyle","Bankhead Terrace","Bankhead Crossway North",139.3,1,Bankhead_009
"Bankhead Loan","South Gyle","Bankhead Avenue","Bankhead Place",169.8,1,Bankhead_009
"Bankhead Medway","South Gyle","Bankhead Avenue","Bankhead Place",157.6,1,Bankhead_009
"Bankhead Medway","South Gyle","Bankhead Place","Bankhead Broadway",132.7,1,Bankhead_009
"Bankhead Place","South Gyle","Bankhead Loan","Bankhead Crossway South",209.6,1,Bankhead_009
"Bankhead Place","South Gyle","Bankhead Loan","Calder Road - SR Bankhead Avenue to Bank",109.1,1,Bankhead_009
"Bankhead Place","South Gyle","Bankhead Terrace","Bankhead Crossway South",76.16,1,Bankhead_009
"Bankhead Road",Dalmeny,"Station Road","Edinburgh Road",282.5,1,Barnton_002
"Bankhead Road",Dalmeny,"Bankhead Road","Station Road",518.6,1,Barnton_002
"Bankhead Road",Dalmeny,"Main Street","Bankhead Road",36.42,1,Barnton_002
"Bankhead Road",Dalmeny,"Main Street","Bankhead Road",38.88,1,Barnton_002
"Bankhead Street","South Gyle","Bankhead Crossway South","Bankhead Way",105.5,1,Bankhead_009
"Bankhead Terrace","South Gyle","Bankhead Avenue","Bankhead Place",157.6,1,Bankhead_009
"Bankhead Terrace","South Gyle","Bankhead Place","Bankhead Broadway",131.5,1,Bankhead_009
"Bankhead Terrace","South Gyle","Bankhead Broadway","Bankhead Drive",311.5,1,Bankhead_009
"Bankhead Terrace","South Gyle","Cultins Road","Bankhead Drive",96.05,1,Bankhead_009
"Bankhead Way","South Gyle","Bankhead Street","Bankhead Drive",257,1,Bankhead_009
