"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"Craigcrook Road",Blackhall,"March Road","Hillpark Terrace",34.44,1,Barnton_007
"Craigcrook Road",Blackhall,"Hillpark Crescent","Hillpark Road",98.8,1,Barnton_007
"Craigcrook Road",Blackhall,"Hillpark Drive","Hillpark Crescent",100.1,1,Barnton_007
"Craigcrook Road",Blackhall,"Hillhouse Road","Hillpark Drive",103.5,1,Barnton_007
"Craigentinny Avenue",Craigentinny,"Restalrig Avenue","Craigentinny Road",501.6,1,Blackford_006
"Craigentinny Avenue",Craigentinny,"Fillyside Terrace","Craigentinny Road",280.9,1,Blackford_006
"Craigentinny Avenue",Craigentinny,"Fillyside Road","Fillyside Terrace",214.1,1,Blackford_006
"Craigentinny Road",Craigentinny,"Sleigh Drive","Craigentinny Road",101,1,Blackford_006
"Craigentinny Road",Craigentinny,"Loganlea Road","Britwell Crescent",102,1,Blackford_006
"Craigentinny Road",Craigentinny,"Christie Miller Avenue","Sydney Terrace",103.6,1,Blackford_006
"Craigentinny Road",Craigentinny,"Vandeleur Avenue","Kekewich Avenue",94.54,1,Blackford_006
"Craigentinny Road",Craigentinny,"Sydney Terrace","Vandeleur Avenue",90.26,1,Blackford_006
"Craigentinny Road",Craigentinny,"Craigentinny Avenue","Britwell Crescent",103.9,1,Blackford_006
"Craigentinny Road",Craigentinny,"Craigentinny Avenue","Christie Miller Avenue",87.14,1,Blackford_006
"Craigentinny Road",Craigentinny,"Craigentinny Road","Restalrig Drive",88.78,1,Blackford_006
"Craigentinny Road",Craigentinny,"Restalrig Drive","Loaning Road",131.2,1,Blackford_006
"Craigentinny Road",Craigentinny,"Loaning Road","Loganlea Drive",90.94,1,Blackford_006
"Craigentinny Road",Craigentinny,"Loganlea Drive","Loganlea Road",132.7,1,Blackford_006
"Craighall Road",Trinity,Grandville,"Craighall Crescent",97.43,1,Barnton_014
"Craighall Road",Trinity,"East Trinity Road","Starbank Road",295.9,1,Barnton_014
"Craighall Road",Trinity,"Craighall Gardens",Grandfield,82.46,1,Barnton_014
"Craighall Road",Trinity,Grandfield,Grandville,66.24,1,Barnton_014
"Craighall Road",Trinity,"Craighall Crescent","East Trinity Road",75.95,1,Barnton_014
"Craighall Road",Trinity,"Chancelot Terrace","Craighall Terrace",117.6,1,Barnton_014
"Craighall Road",Trinity,"Craighall Terrace","Craighall Gardens",102.6,1,Barnton_014
"Craighouse Gardens","Easter Craiglockhart","Balcarres Street","Craighouse Gardens",32.83,1,Bankhead_007
"Craighouse Gardens","Easter Craiglockhart","Craighouse Gardens","Craighouse Gardens",64.43,1,Bankhead_007
"Craighouse Gardens","Easter Craiglockhart","Craighouse Gardens","Craighouse Gardens",123,1,Bankhead_007
"Craighouse Gardens","Easter Craiglockhart","Craighouse Gardens","Craighouse Road",87.01,1,Bankhead_007
"Craighouse Road","Easter Craiglockhart","Craighouse Road","Morningside Gardens",76.91,1,Bankhead_007
"Craighouse Road","Easter Craiglockhart","Craighouse Gardens","Myreside Road",140.4,1,Bankhead_007
"Craighouse Road","Easter Craiglockhart","Craighouse Gardens","Craighouse Road",160.5,1,Bankhead_007
"Craighouse Road","Easter Craiglockhart","Morningside Gardens","Morningside Drive",46.82,1,Bankhead_007
"Craighouse Terrace","Easter Craiglockhart","Craighouse Park","Plewlands Gardens",86.71,1,Bankhead_007
"Craighouse Terrace","Easter Craiglockhart","Craighouse Road","Craighouse Park",98.86,1,Bankhead_007
"Craigleith Avenue North",Ravelston,"Ravelston Garden","Craigleith Rise",49.86,2,Barnton_201
"Craigleith Crescent",Ravelston,"Craigleith Crescent","Queensferry Road",68.25,1,Barnton_007
"Craigleith Crescent",Ravelston,"Craigleith Avenue South","Craigleith Avenue North",58.52,1,Barnton_007
"Craigleith Crescent",Ravelston,"Craigleith View","Craigleith Avenue South",61.54,1,Barnton_007
"Craigleith Crescent",Ravelston,"Ravelston Dykes","Craigleith View",124.6,1,Barnton_007
"Craigleith Crescent",Ravelston,"Blinkbonny Terrace","Craigleith Crescent",48.51,1,Barnton_007
"Craigleith Crescent",Ravelston,"Blinkbonny Terrace","Craigleith Gardens",55.94,1,Barnton_007
"Craigleith Crescent",Ravelston,"Craigleith Avenue North","Craigleith Gardens",129.6,1,Barnton_007
"Craigleith Crescent",Ravelston,"Craigleith Gardens","Craigleith Gardens",183.2,1,Barnton_007
"Craigleith Drive",Ravelston,"Craigleith Gardens","Caledonian Cycle Track",89.5,2,Barnton_201
"Craigleith Drive",Ravelston,"Craigleith Crescent","Craigleith Gardens",151.2,2,Barnton_201
"Craigleith Drive",Ravelston,"Blinkbonny Gardens","Blinkbonny Grove",89.75,2,Barnton_201
"Craigleith Drive",Ravelston,"Blinkbonny Gardens","Queensferry Road",74.48,2,Barnton_201
"Craigleith Drive",Ravelston,"Blinkbonny Avenue","Craigleith Drive",70.38,2,Barnton_201
"Craigleith Hill Avenue",Craigleith,"Craigleith Hill Crescent","Craigleith Hill Gardens",412.7,2,Barnton_201
"Craigleith Hill Avenue",Craigleith,"Crewe Road South","Craigleith Hill Gardens",143.4,2,Barnton_201
"Craigleith Hill Crescent",Craigleith,"Craigleith Hill Loan","Craigleith Road",159.6,2,Barnton_201
"Craigleith Hill Crescent",Craigleith,"Craigleith Hill Row","Craigleith Hill Gardens",89.58,2,Barnton_201
"Craigleith Hill Crescent",Craigleith,"Craigleith Hill Gardens","Craigleith Hill Avenue",147.9,2,Barnton_201
"Craigleith Hill Crescent",Craigleith,"Craigleith Hill Loan","Craigleith Hill Row",150,2,Barnton_201
"Craigleith Rise",Ravelston,"Ravelston Dykes","Craigleith Avenue South",101.4,2,Barnton_201
"Craigleith Rise",Ravelston,"Craigleith Avenue South","Craigleith Avenue North",77.99,2,Barnton_201
"Craigleith Road",Craigleith,"Orchard Drive","Craigleith Hill Crescent",57.97,1,Barnton_008
"Craigleith Road",Craigleith,"Orchard Bank","Orchard Place",91.14,1,Barnton_008
"Craigleith Road",Craigleith,"South Groathill Avenue","Craigleith Hill",264.5,1,Barnton_008
"Craigleith Road",Craigleith,"Orchard Place","End of cul de sac",150.5,1,Barnton_008
"Craigleith Road",Craigleith,"Craigleith Hill Crescent","Orchard Bank",206.6,1,Barnton_008
"Craigleith Road",Craigleith,"Craigleith Hill","Orchard Drive",273.8,1,Barnton_008
"Craiglockhart Avenue","Wester Craiglockhart","Lanark Road","Craiglockhart Gardens",182,1,Bankhead_007
"Craiglockhart Avenue","Wester Craiglockhart","Craiglockhart Loan","Craiglockhart Drive South",142.4,1,Bankhead_007
"Craiglockhart Avenue","Wester Craiglockhart","Colinton Road","Craiglockhart Drive South",207.2,1,Bankhead_007
"Craiglockhart Avenue","Wester Craiglockhart","Craiglockhart Gardens","Craiglockhart Loan",109.8,1,Bankhead_007
"Craiglockhart Drive North","Wester Craiglockhart","Craiglockhart Loan","Craiglockhart Drive South",187.5,2,Bankhead_202
"Craiglockhart Drive South","Wester Craiglockhart","Craiglockhart Loan","Craiglockhart Park",34.67,2,Bankhead_202
"Craiglockhart Gardens","Wester Craiglockhart","Craiglockhart Drive North","Craiglockhart Gardens",217.8,2,Bankhead_202
"Craiglockhart Gardens","Wester Craiglockhart","Craiglockhart Gardens","Craiglockhart Avenue",47.05,2,Bankhead_202
"Craiglockhart Gardens","Wester Craiglockhart","Craiglockhart Road North","Craiglockhart Drive North",89.05,2,Bankhead_202
"Craiglockhart Loan","Wester Craiglockhart","Craiglockhart Avenue","Craiglockhart Bank",229.2,2,Bankhead_202
"Craiglockhart Loan","Wester Craiglockhart","Craiglockhart Bank","Craiglockhart Drive South",230.6,2,Bankhead_202
"Craiglockhart Loan","Wester Craiglockhart","Craiglockhart Avenue","Craiglockhart Drive North",177,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Crescent","Craiglockhart Grove",115.7,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Drive South","Craiglockhart Crescent",93.66,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Grove","Craiglockhart Quadrant",54.25,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Quadrant","Craiglockhart Grove",64.07,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Road","Colinton Road",148.8,2,Bankhead_202
"Craiglockhart Park","Wester Craiglockhart","Craiglockhart Grove","Craiglockhart Road",96.98,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Craiglockhart Crescent","Craiglockhart Quadrant",164.4,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Craiglockhart Road North","Craiglockhart Crescent",148.2,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Elliot Place","Colinton Road",141.2,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Craiglockhart Park","Elliot Park",113,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Elliot Park","Elliot Place",65.64,2,Bankhead_202
"Craiglockhart Road","Wester Craiglockhart","Craiglockhart Quadrant","Craiglockhart Park",158.9,2,Bankhead_202
"Craiglockhart Road North","Wester Craiglockhart","Craiglockhart Road","Craiglockhart Gardens",334.7,2,Bankhead_202
"Craigmillar Castle Avenue",Craigmillar,"Niddrie Mains Road","Greendykes Road",150.5,1,Blackford_009
"Craigmillar Castle Avenue",Craigmillar,"Craigmillar Castle Avenue","Craigmillar Castle Loan",97.77,1,Blackford_013
"Craigmillar Castle Avenue",Craigmillar,"Greendykes Road","Craigmillar Castle Avenue",84.46,1,Blackford_013
"Craigmillar Castle Avenue",Craigmillar,"Craigmillar Castle Avenue","Craigmillar Castle Avenue",48.27,1,Blackford_013
"Craigmillar Castle Avenue",Craigmillar,"Niddrie Mains Road","Niddrie Mains Road",21.59,1,Blackford_009
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Craigmillar Castle Gardens",109.1,1,Blackford_013
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Peffermill Road",58.53,1,Blackford_013
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Craigmillar Castle Gardens",37,1,Blackford_013
"Craigmillar Castle Gardens",Craigmillar,"Castleview Avenue","Craigmillar Castle Gardens",110.4,1,Blackford_013
"Craigmillar Castle Loan",Craigmillar,"Castlepark Gait","Niddrie Mains Road",92.68,1,Blackford_013
"Craigmillar Castle Loan",Craigmillar,"Craigmillar Castle Avenue","Castlepark Gait",178.7,1,Blackford_013
"Craigmillar Castle Road",Craigmillar,"Mains Of Craigmillar","Craigmillar Castle Road",197.9,1,Blackford_009
"Craigmillar Castle Road",Craigmillar,"Peffermill Road","Castlebrae Glebe",117.4,1,Blackford_009
"Craigmillar Castle Road",Craigmillar,"Castlebrae Glebe","Castlebrae Avenue",175.2,1,Blackford_009
"Craigmillar Castle Road",Craigmillar,"Old Dalkeith Road","Craigmillar Castle Road",509.5,1,Blackford_009
"Craigmillar Castle Road",Craigmillar,"Castlebrae Avenue","Mains Of Craigmillar",471.5,1,Blackford_009
"Craigmillar Park",Mayfield,"Wilton Road","East Suffolk Road",233.3,1,Blackford_002
"Craigmillar Park",Mayfield,"East Suffolk Road","East Savile Road",126.2,1,Blackford_002
"Craigmillar Park",Mayfield,"East Savile Road","Ventnor Terrace",117.7,1,Blackford_002
"Craigmillar Park",Mayfield,"Lady Road","Craigmillar Park",46.41,1,Blackford_002
"Craigmillar Park",Mayfield,"Craigmillar Park","Wilton Road",116.4,1,Blackford_002
"Craigmount Avenue North",Craigmount,"Craigmount Avenue North","Craigmount Court",52.85,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Court","Drum Brae North",42.74,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Bank","Craigmount Avenue North",68.11,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Avenue North","Craigmount Avenue North",62.43,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Drive","Craigmount Loan",80.78,2,Barnton_202
"Craigmount Avenue North",Craigmount,"Craigmount Place","Craigmount Drive",85.62,2,Barnton_202
"Craigmount Avenue North",Craigmount,"Craigmount Crescent","Craigmount Avenue",90.34,2,Barnton_202
"Craigmount Avenue North",Craigmount,"Craigmount Crescent","Craigmount Place",78.34,2,Barnton_202
"Craigmount Avenue North",Craigmount,"Drum Brae Walk","Craigmount Bank West",64.84,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Bank West","Craigmount Bank",62.18,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Brae","Drum Brae Walk",72.14,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Loan","Craigmount Way",210.3,2,Barnton_202
"Craigmount Avenue North",Craigmount,"Craigmount Way","Craigmount Brae",100.4,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Drum Brae Walk","Craigmount Hill",52.35,1,Barnton_016
"Craigmount Avenue North",Craigmount,"Craigmount Hill","Drum Brae Walk",58.73,1,Barnton_016
"Craigmount Brae",Craigmount,"Craigmount Avenue North","Craigmount Brae",104.5,1,Barnton_016
"Craigmount Brae",Craigmount,"Craigmount Brae","Craigmount Brae",81.7,1,Barnton_016
"Craigmount Brae",Craigmount,"Craigmount Brae","Craigmount Brae",48.29,1,Barnton_016
"Craigmount Brae",Craigmount,"Craigmount Brae","End of cul de sac",31.05,1,Barnton_016
"Craigmount Grove",Craigmount,"Craigmount Terrace","Craigmount Gardens",77.41,2,Barnton_201
"Craigmount Grove",Craigmount,"Craigmount View","Craigmount Terrace",78.41,2,Barnton_201
"Craigmount Grove",Craigmount,"Craigmount Gardens","Craigmount Park",81.39,2,Barnton_201
"Craigmount Grove",Craigmount,"Craigmount Park","Craigs Gardens",79.4,2,Barnton_201
"Craigmount View",Craigmount,"Drum Brae South","Craigmount Avenue",79.46,2,Barnton_201
"Craigmount View",Craigmount,"Craigmount Grove North","Craigmount Grove",41.01,2,Barnton_201
"Craigmount View",Craigmount,"Craigmount Avenue","Craigmount Grove North",276.5,2,Barnton_201
"Craigmount View",Craigmount,"Stuart Crescent","Stuart Wynd",32.48,2,Barnton_201
"Craigmount View",Craigmount,"Stuart Green","Stuart Crescent",48.32,2,Barnton_201
"Craigmount View",Craigmount,"Craigmount View","Stuart Green",66.85,2,Barnton_201
"Craigmount View",Craigmount,"Craigmount Grove","Craigmount View",53.01,2,Barnton_201
"Craigmount View",Craigmount,"Stuart Wynd","Stuart Crescent",70.11,2,Barnton_201
"Craigmount Way",Craigmount,"Craigmount Avenue North","Drum Brae South",80.78,1,Barnton_016
"Craigour Avenue",Moredun,"Craigour Drive","Craigour Grove",307.3,1,Blackford_012
"Craigour Avenue",Moredun,"Craigour Grove","Moredun Park Road",128.6,1,Blackford_012
"Craigour Drive",,"Craigour Place","Upper Craigour Way",52.01,1,Blackford_012
"Craigour Drive",,"Moredunvale Road","Craigour Place",49.17,1,Blackford_012
"Craigour Drive",,"Upper Craigour Way","Craigour Green",115.7,1,Blackford_012
"Craigour Drive",,"Craigour Green","Craigour Avenue",37.54,1,Blackford_012
"Craigs Gardens",Craigmount,"Craigs Crescent","Craigmount Grove",86.18,2,Barnton_201
"Craigs Gardens",Craigmount,"Craigs Bank","Craigs Crescent",108,2,Barnton_201
"Craigs Gardens",Craigmount,"Craigs Avenue","Glasgow Road",91.06,2,Barnton_201
"Craigs Gardens",Craigmount,"Craigs Avenue","Craigs Bank",105,2,Barnton_201
"Craigs Road","North Gyle","East Craigs Rigg","Maybury Road",73.77,1,Barnton_006
"Craigs Road","North Gyle","Craigs Road","East Craigs Rigg",359,1,Barnton_006
"Craigs Road","North Gyle","Craigmount Avenue","Drum Brae South",115,1,Barnton_006
"Craigs Road","North Gyle","Craigs Loan","Craigmount Avenue",140.3,1,Barnton_006
"Craigs Road","North Gyle","Craigmount Grove","Craigs Drive",52.81,1,Barnton_006
"Craigs Road","North Gyle","Craigmount Grove","Craigs Loan",157.2,1,Barnton_006
"Craigs Road","North Gyle","Craigs Drive","North Gyle Road",26.48,1,Barnton_006
"Craigs Road","North Gyle","North Gyle Road","Craigievar Wynd",347.4,1,Barnton_006
"Craigs Road","North Gyle","Craigievar Wynd","Craigs Road",60.13,1,Barnton_006
"Cramond Road North",Cramond,"Cramond Road South","Gamekeeper's Road",388.6,1,Barnton_011
"Cramond Road North",Cramond,"Cramond Road North","Gamekeeper's Road",62.29,1,Barnton_011
"Cramond Road North",Cramond,"Cramond Place","Cramond Road North",215.2,1,Barnton_011
"Cramond Road North",Cramond,"Cramond Glebe Road","Cramond Place",134.3,1,Barnton_011
"Cramond Road South",Silverknowes,"Barnton Park","Cramond Road South",328.4,1,Barnton_011
"Cramond Road South",Silverknowes,"Silverknowes Terrace","Cramond Road South",146.5,1,Barnton_011
"Cramond Road South",Silverknowes,"East Barnton Avenue","Cramond Road South",25.01,1,Barnton_011
"Cramond Road South",Silverknowes,"Silverknowes Avenue","Lauriston Farm Road",99.41,1,Barnton_011
"Cramond Road South",Silverknowes,"Silverknowes Terrace","Silverknowes Avenue",94.41,1,Barnton_011
"Cramond Road South",Silverknowes,"Cramond Road South","Cramond Road North",520.6,1,Barnton_011
"Crewe Road North",,"Crewe Toll Roundabout","Crewe Road Gardens",284.7,1,Barnton_005
"Crewe Road North",,"Boswall Parkway","Royston Mains Crescent",158,1,Barnton_005
"Crewe Road North",,"Crewe Road Gardens","Crewe Road North",80.84,1,Barnton_005
"Crewe Road North",,"Crewe Road North","Pilton Avenue",43.57,1,Barnton_005
"Crewe Road North",,"Pilton Avenue","Crewe Loan",157.2,1,Barnton_005
"Crewe Road North",,"Crewe Loan","Boswall Parkway",156.3,1,Barnton_005
"Crewe Road North",,"Royston Mains Crescent","West Granton Road",88.48,1,Barnton_005
"Crewe Road South",,"End of cul de sac","Craigleith Hill Avenue",320.3,1,Barnton_008
"Crewe Road South",,"Craigleith Hill Avenue","Crewe Road South",163.7,1,Barnton_008
"Crewe Road South",,"Porterfield Road","West Woods",88.74,1,Barnton_008
"Crewe Road South",,"Crewe Road South","Porterfield Road",105.7,1,Barnton_008
"Crewe Road South",,"North Werber Park","Grigor Gardens",115,1,Barnton_008
"Crewe Road South",,"Grigor Gardens","Grigor Avenue",163.8,1,Barnton_008
"Crewe Road South",,"Davidson Road","North Werber Park",50.7,1,Barnton_008
"Crewe Road South",,"West Woods","Davidson Road",122.1,1,Barnton_008
"Crewe Road South",,"Grigor Avenue","Crewe Toll Roundabout",118.5,1,Barnton_008
"Crewe Toll Roundabout",Craigleith,"Ferry Road","End of cul de sac",116.8,1,Bankhead_004
"Crighton Place",Albion,"Shrub Place","Leith Walk",104.7,1,Barnton_004
"Croall Place",Broughton,"Shrub Place Lane","Brunswick Road",96.4,1,Barnton_004
"Cultins Road","South Gyle","Cultins Road","Cultins Road",40.1,1,Bankhead_009
"Cultins Road","South Gyle","Bankhead Terrace","Cultins Road",306.4,1,Bankhead_009
"Cultins Road","South Gyle","Cultins Road","Calder Road",79.54,1,Bankhead_009
"Cultins Road","South Gyle","Mid New Cultins","Bankhead Terrace",187.9,1,Bankhead_009
"Cultins Road","South Gyle","Calder Road","Cultins Road",45.55,1,Bankhead_009
"Cultins Road","South Gyle","Cultins Road","Mid New Cultins",218.2,1,Bankhead_009
"Cumlodden Avenue",Murrayfield,"Campbell Avenue","Ravelston Dykes",296.4,2,Barnton_201
"Curriehill Road",Riccarton/muirwood,"Lanark Road West","Pentland View",93.17,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Forth View Crescent","Curriehill Road",418,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Calder Road","Warriston Farm Road",637.9,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Curriehill Road","Long Dalmahoy Road",545.1,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Long Dalmahoy Road","Warriston Farm Road",689.1,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Riccarton Avenue","Forth View Crescent",111,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"End of cul de sac","Forth View Crescent",129.5,1,Bankhead_001
"Curriehill Road",Riccarton/muirwood,"Forth View Crescent","Riccarton Avenue",130.9,1,Bankhead_001
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",66.25,1,Bankhead_012
"Currievale Drive",Curriehill,"Forth View Crescent","Currievale Drive",146.9,1,Bankhead_012
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",88.8,1,Bankhead_012
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Park",47.17,1,Bankhead_012
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",339.7,1,Bankhead_012
"Currievale Park",Curriehill,"Currievale Drive","Currievale Park",47.72,1,Bankhead_012
"Currievale Park",Curriehill,"Currievale Park","Currievale Park",53.08,1,Bankhead_012
"Currievale Park",Curriehill,"Currievale Park","Currievale Park",44.96,1,Bankhead_012
"Dalkeith Road",Prestonfield,"Holyrood Park Road","Holyrood Park Road",34.18,1,Blackford_001
"Dalkeith Road",Prestonfield,"Parkside Terrace","East Preston Street",51,1,Blackford_002
"Dalkeith Road",Prestonfield,"East Preston Street","Holyrood Park Road",77.19,1,Blackford_001
"Dalkeith Road",Prestonfield,"Holyrood Park Road","Salisbury Road",71.33,1,Blackford_001
"Dalkeith Road",Prestonfield,"Salisbury Road","Blacket Place",127.5,1,Blackford_001
"Dalkeith Road",Prestonfield,"Blacket Place","Blacket Avenue",95.87,1,Blackford_001
"Dalkeith Road",Prestonfield,"Cameron Crescent","Cameron Toll",33.78,1,Blackford_001
"Dalkeith Road",Prestonfield,"Blacket Avenue","Marchhall Place",108.5,1,Blackford_001
"Dalkeith Road",Prestonfield,"Marchhall Place","Mayfield Terrace",111.8,1,Blackford_001
"Dalkeith Road",Prestonfield,"Prestonfield Crescent","Cameron Park",58.22,1,Blackford_001
"Dalkeith Road",Prestonfield,"Prestonfield Gardens","Prestonfield Crescent",150.4,1,Blackford_001
"Dalkeith Road",Prestonfield,"Prestonfield Avenue","Prestonfield Gardens",138.7,1,Blackford_001
"Dalkeith Road",Prestonfield,"Kilmaurs Terrace","Prestonfield Avenue",141.4,1,Blackford_001
"Dalkeith Road",Prestonfield,"Queen's Crescent","Kilmaurs Terrace",84.21,1,Blackford_001
"Dalkeith Road",Prestonfield,"Priestfield Road","Queen's Crescent",54.41,1,Blackford_001
"Dalkeith Road",Prestonfield,"Mayfield Terrace","Priestfield Road",68.94,1,Blackford_001
"Dalkeith Road",Prestonfield,"Lutton Place","Parkside Terrace",93.5,1,Blackford_002
"Dalmahoy Road",Gogar,"End of cul de sac","Calder Road",926.8,1,Farmers_001_Ratho
"Dalmahoy Road",Gogar,"Ratho Mains","Ransfield Road",136.9,1,Farmers_001_Ratho
"Dalmahoy Road",Gogar,"Dalmahoy Road","Ratho Mains",438,1,Farmers_001_Ratho
"Dalmahoy Road",Gogar,"Hillview Cottages","Dalmahoy Road",105.4,1,Farmers_001_Ratho
"Dalmahoy Road",Gogar,"Main Street","Dalmahoy Road",53.53,1,Farmers_001_Ratho
"Dalmahoy Road",Gogar,"Dalmahoy Road","Hillview Cottages",49.35,1,Farmers_001_Ratho
"Dalmeny Street",Albion,"St Clair Street","Dickson Street",88.33,1,Blackford_006
"Dalmeny Street",Albion,"Buchanan Street","Leith Walk",101.2,1,Blackford_006
"Dalmeny Street",Albion,"Sloan Street","Buchanan Street",104.6,1,Blackford_006
"Dalmeny Street",Albion,"Dickson Street","Sloan Street",91.03,1,Blackford_006
"Dalry Road",Dalry,"End of cul de sac","Dalry Road",63.74,1,Bankhead_008
"Dalry Road",Dalry,"Dalry Road","West Park Place",56.04,1,Bankhead_008
"Dalry Road",Dalry,"Murieston Crescent","Ardmillan Terrace",140.7,1,Bankhead_008
"Dalry Road",Dalry,"Easter Dalry Road","Washington Street",59.05,1,Bankhead_008
"Dalry Road",Dalry,"Downfield Place","Murieston Crescent Lane",61.87,1,Bankhead_008
"Dalry Road",Dalry,"Murieston Crescent Lane","Murieston Crescent",81.69,1,Bankhead_008
"Dalry Road",Dalry,"Springwell Place","Downfield Place",63.13,1,Bankhead_008
"Dalry Road",Dalry,"Cathcart Place","Springwell Place",67.04,1,Bankhead_008
"Dalry Road",Dalry,"Washington Street","Cathcart Place",100.5,1,Bankhead_008
"Dalry Road",Dalry,"Orwell Place","Easter Dalry Road",48.98,1,Bankhead_008
"Dalry Road",Dalry,"West Park Place","Orwell Place",37.44,1,Bankhead_008
"Dalry Road",Dalry,"Dalry Place","Richmond Terrace",54.13,1,Bankhead_008
"Dalry Road",Dalry,"Richmond Terrace","Dalry Road",87.7,1,Bankhead_008
"Dalry Road",Dalry,"Dalry Place","Dalry Road",63.69,1,Bankhead_008
"Dalziel Place",Broughton,"Wishaw Terrace","London Road",163.2,1,Blackford_001
"Dean Bridge",,"Dean Bridge","Bell's Brae",67.04,1,Barnton_004
"Dean Bridge",,"Eton Terrace","Dean Bridge",126.3,1,Barnton_004
"Dean Park Crescent",Stockbridge,"Queensferry Road","Learmonth Terrace",30.11,1,Barnton_007
"Dean Park Crescent",Stockbridge,"Learmonth Terrace","Comely Bank Avenue",64.35,1,Barnton_008
"Dean Park Crescent",Stockbridge,"Ann Street","Dean Street",50.85,1,Barnton_008
"Dean Park Crescent",Stockbridge,"Comely Bank Avenue","Ann Street",150.2,1,Barnton_008
"Dean Path",Stockbridge,"Queensferry Road","Ravelston Terrace",100.2,1,Barnton_007
"Deanhaugh Street",Stockbridge,"St Bernard's Row","Haugh Street",48.83,1,Barnton_008
"Deanhaugh Street",Stockbridge,"Saunders Street","Haugh Street",88.92,1,Barnton_008
"Deanpark Avenue",Balerno,"Deanpark Grove","Deanpark Brae",80.03,1,Bankhead_012
"Deanpark Avenue",Balerno,"Deanpark Grove","Deanpark Place",230.5,1,Bankhead_012
"Deanpark Brae",Balerno,"Main Street","Deanpark Avenue",52.48,1,Bankhead_012
"Deanpark Place",Balerno,"Deanpark Avenue","Marchbank Way",67.89,1,Bankhead_012
"Dewar Place",Bruntsfield,"Dewar Place","Gardner's Crescent",22.78,1,Bankhead_008
"Dewar Place",Bruntsfield,"Dewar Place","Morrison Street",29.45,1,Bankhead_004
"Dewar Place",Bruntsfield,"Torphichen Street","Dewar Place",80.95,1,Bankhead_004
"Dochart Drive",Clerwood,"Glenure Loan","Durar Drive",172.4,2,Barnton_202
"Dochart Drive",Clerwood,"Ardshiel Avenue","Glenure Loan",63.06,2,Barnton_202
"Dochart Drive",Clerwood,"Balfron Loan","Ardshiel Avenue",252.8,2,Barnton_202
"Dochart Drive",Clerwood,"Duart Crescent","Balfron Loan",83.2,2,Barnton_202
"Dock Street","North Leith","Commercial Street","Coburg Street",112.8,1,Barnton_008
"Dolphin Avenue",Curriehill,"Dolphin Gardens East","End of cul de sac",62.6,1,Bankhead_012
"Dolphin Avenue",Curriehill,"Dolphin Gardens East","Dolphin Road",145.9,1,Bankhead_012
"Dolphin Avenue",Curriehill,"Dolphin Road","Lanark Road West",101,1,Bankhead_012
"Dolphin Gardens East",Curriehill,"Dolphin Gardens West","Forth View Road",163.5,1,Bankhead_012
"Dolphin Gardens West",Curriehill,"Dolphin Gardens West","Dolphin Gardens East",101.4,1,Bankhead_012
"Dolphin Gardens West",Curriehill,"Dolphin Gardens West","Dolphin Gardens West",84.53,1,Bankhead_012
"Dolphin Gardens West",Curriehill,"Stewart Gardens","Dolphin Gardens West",82.35,1,Bankhead_012
"Dolphin Gardens West",Curriehill,"Rowantree Avenue","Stewart Gardens",62.77,1,Bankhead_012
"Dolphin Road",Curriehill,"Stewart Road","Stewart Avenue",72.15,1,Bankhead_012
