Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"George Street - Browns","131/133 George Street","5.0m x 2.0m and 4.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",15,11,
"George Street - Caf","77B George Street","2.4m x 1.4m and 2.4m x 2.0m","Tuesday, September 25, 2012","Tuesday, September 24, 2013",203,11,
"George Street - Candy Bar","113-115 George Street","5.3m x 1.6m & 1.4m x 1.6m","Monday, April 01, 2013","Monday, March 31, 2014",420,11,
"George Street - Centotre","103 George Street","12.35m x 1.5m and 1.22m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",402,11,
"George Street - Costa Coffee","83 George Street","4.0m x 1.0m and 4.0m x 1.0m","Friday, October 26, 2012","Friday, October 25, 2013",259,11,
"George Street - Gourmet Burger Kitchen","137 George Street","3.5m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",122,11,
"George Street - Gusto Restaurant","135 George Street","6.3m x 1.85m","Monday, April 01, 2013","Monday, March 31, 2014",452,11,
"George Street - Le Monde","16 George Street","4.8m x 1.5m & 3.2m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",435,11,
"George Street - Starbucks Coffee","106 George Street","6.8m x 1.4m and 4.8m x 1.4m","Monday, April 01, 2013","Monday, March 31, 2014",151,11,
"George Street - The Alexander Graham Bell","126-128 George Street","6.4m x 2.0m & 2.4m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",380,11,
"George Street - The Living Room","113 - 115 George Street","1.5m x 5.1m and 1.5m x 5.1m","Monday, October 01, 2012","Monday, September 30, 2013",329,11,
"George Street - The Standing Order","62-66 George Street","6.0m x 1.5m and 6.0m x 1.2m","Monday, April 01, 2013","Monday, March 31, 2014",5,11,
"George Street - Tigerlily","125 George Street","7.8m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",438,11,
"George Street - Wellington Coffee","33a George Street","8.0m x 0.5m","Monday, April 01, 2013","Monday, September 30, 2013",164,11,
"Gillespie Place - Harajuku Kitchen","10 Gillespie Place","3.6m x 1.4m","Thursday, May 23, 2013","Friday, November 22, 2013",41,10,
"Grassmarket - Apex City Hotel","61 Grassmarket","4.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",219,11,
"Grassmarket - Apex International Hotel","31-35 Grassmarket","15.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",213,11,
