ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2658,Neopolitan,Broomhouse Road,At bus stop opposite Kirklands,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2659,Neopolitan,Ladywell Avenue,At Kirklands lamppost G2,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2660,Derby Slimline,Ladywell Road,Outside 2,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2661,Derby Slimline,Ladywell Road,Outside 5,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2662,Derby Slimline,Ladywell Road,Bus stop at 26,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2663,Amberol,Broomhall Road,outside shops,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2664,Half Edinburgh,Broomhouse Road,Outside School,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2665,Half Edinburgh,Broomhouse Road,Outside School,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2666,Derby Standard,Broomhouse Road,Opposite School at footbridge,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2667,Barnsley,Ladywell Road,At entrance to St Margarets park,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2668,Half Edinburgh,Broomhouse Road,Outside School at Path,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2669,Barnsley,Forrester Park Drive,On grass ar garages,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2671,Neopolitan,Murryburn Road,westside plaza,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2673,Wybone,Westside plaza,Outside Library,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,16/03/2011
2674,Routemaster,Broomhouse Road,Outside skate Park,Yes,NB,0.00,0.00,South West,Sighthill/Gorgie,
2675,Wybone,South Gyle Crescent,At bus stop before Nhs,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2676,Brunel,South Gyle Crescent,At bus stop opposite driver hire,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2677,Wybone,South Gyle Crescent,At bus stop at chinese restaurant,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2678,Wybone,South Gyle Crescent,At bus stop opposite HBOS,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2679,Derby Standard,South Gyle Crescent,Bus stop at RBS,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2680,Wybone,South Gyle Crescent,Bus stop at 34,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2681,Derby Standard,"Station Road, ratho station",outside school,,,0.00,0.00,West,Almond,
2682,Derby Slimline,"Baird Road, Ratho",In car park,Yes,EB,0.00,0.00,South West,Pentland Hills,
2683,Derby Auto Slimline,"Baird Road, Ratho",At bus stop by bridge inn,Yes,WB,0.00,0.00,South West,Pentland Hills,
2684,Derby Auto Slimline,Ratho Park Road,at junction with BAird road,Yes,EB,0.00,0.00,South West,Pentland Hills,
2686,Derby Auto Slimline,"Main street, Ratho",Opposite 137,Yes,EB,0.00,0.00,South West,Pentland Hills,
2687,Derby Auto Slimline,"Main street, Ratho",Outside village shop,Yes,EB,0.00,0.00,South West,Pentland Hills,
2688,Derby Slimline,Craigs park crescent ratho,On grass area,Yes,NB,0.00,0.00,South West,Pentland Hills,
2689,Derby Auto Slimline,"Main street, Ratho",Outside 60,Yes,EB,0.00,0.00,South West,Pentland Hills,
2690,Derby Auto Slimline,Dalmahoy Road,At bus stop near main street,Yes,NB,0.00,0.00,South West,Pentland Hills,
2691,Derby Standard Green,Ratho Park,by play equipment,Yes,EB,0.00,0.00,South West,Pentland Hills,03/04/2012
2692,Half Edinburgh,Calder Road,Bus stop opposite park and ride,Yes,EB,0.00,0.00,South West,Pentland Hills,
2693,Derby Auto Slimline,A71,Outside cottage after park and ride,Yes,WB,0.00,0.00,South West,Pentland Hills,
2694,Amberol,Oxgangs Broadway,In shopping precinct,Yes,EB,0.00,0.00,South West,Colinton/Fairmilehead,
2695,Amberol,Oxgangs Broadway,In shopping precinct,Yes,EB,0.00,0.00,South West,Colinton/Fairmilehead,
2696,Barnsley,Oxgangs Broadway,In play area next to Broadway,Yes,EB,0.00,0.00,South West,Colinton/Fairmilehead,
2697,Derby Slimline,Biggar Road,At bus stop opposite 26A,Yes,SB,0.00,0.00,South West,Colinton/Fairmilehead,
2698,Derby Slimline,Biggar Road,At bus stop Outside 26A,Yes,NB,0.00,0.00,South West,Colinton/Fairmilehead,
2699,Derby Slimline,Biggar Road,At bus terminus,Yes,NB,0.00,0.00,South West,Colinton/Fairmilehead,
2701,Topsy,Saughton Road,Outside 32,,,0.00,0.00,South West,Sighthill/Gorgie,
