DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
"clothing alterations, tailoring",Oscars,Class 2,Class 2,Class 1,Class 1,371 LEITH WALK,EH6 8SE
furniture,Ma Maison,Class 1,Class 1,Class 1,Class 1,373-375 LEITH WALK,EH6 8SE
public house,City Limits,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,379-381 LEITH WALK,EH6 8SE
n/t/c,Barr & Sons,Class 1,Class 1,Class 1,Class 1,2 LEITH WALK,EH6 5AE
vacant,vacant,Class 2,Class 2,Class 2,Vacant,4 LEITH WALK,EH6 5AE
bank,Royal Bank of Scotland,,,Class 2,Class 2,34 LEITH WALK,EH6 5AA
solicitors,Beverage & Kellas,,,Class 2,Class 2,68 LEITH WALK,EH6 5HB
undertakers,Leith Funeral Service,Class 2,Class 1,Class 1,Class 1,72 LEITH WALK,EH6 5HB
vacant,vacant,Class 4,Class 1,Class 1,Vacant,76 LEITH WALK,EH6 5HB
hot food take-away,The Yummy House,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,154 LEITH WALK,EH6 5DT
carpets,The Carpet Shop,,,Class 1,Class 1,166 LEITH WALK,EH6 5EA
hot food take-away,Pizza Hut,,,SUI GENERIS,SUI GENERIS,170A LEITH WALK,EH6 5EA
solarium,Easy Tan,Class 2,Class 1,,Class 11,174-176 LEITH WALK,EH6 5EA
public house,Volunteer Arms,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,180 LEITH WALK,EH6 5EA
betting shop,Ladbrokes,Class 1,Class 2,Class 2,Class 2,202-204 LEITH WALK,EH6 5EQ
florist,All Season's Flowers,,,Class 1,Class 1,208-210 LEITH WALK,EH6 5EQ
vacant,vacant,,,Class 1,Vacant,(51/8) LITTLE FRANCE CRES,EH16 4SA
coffee kiosk,California Coffee Company,,,Class 3,Class 3,(A) LITTLE KING STREET,EH1 3TT
hot food take-away (Chinese),Yong Hau Gardens,Vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,1(A) LOCHEND AVENUE,EH7 6DT
hot food take-away,Sea Bass,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,13 LOCHEND ROAD,EH6 8DT
grocer & n/t/c,Links Express,,,Class 1,Class 1,15-19 LOCHEND ROAD,EH6 8DT
advice/food co-op,Community Resource Centre,Class 1,Class 1,Vacant,Class 2,"4 LOCHEND ROAD, SOUTH",EH7 6BP
hot food take-away,Angelo's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,"8 LOCHEND ROAD, SOUTH",EH7 6BP
hot food take-away (tandoori),Madras Cottage,Class 1,Class 1,SUI GENERIS,SUI GENERIS,"10A LOCHEND ROAD, SOUTH",EH7 6BP
veterinary surgery,Dundas Veterinary Group,Class 2,Class 2,Class 2,Class 2,,
chemist,Co-operative Pharmacy,Vacant,Class 1,Class 1,Class 1,"12A LOCHEND ROAD, SOUTH",EH7 6BP
n/t/c,Anwar Newsagents,Class 1,Class 1,Class 1,Class 1,"14 LOCHEND ROAD, SOUTH",EH7 6BP
grocer,The Pond Mini Market,Class 1,Class 1,Class 1,Class 1,"58 LOCHEND ROAD, SOUTH",EH7 6DE
n/t/c,Lochend Newsagents,Class 1,Vacant,Class 1,Class 1,"62 LOCHEND ROAD, SOUTH",EH7 6DE
public house,The Loch Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,"74 LOCHEND ROAD, SOUTH",EH7 6DR
restaurant (Indian),Iman's,Class 3,Class 3,Vacant,Class 3,4-8 LOCHRIN BUILDINGS,EH3 9NB
kitchen furniture & kitchen design,Craighead & Woolf,Class 1,Class 1,Class 1,Class 1,12-14 LOCHRIN BUILDINGS,EH3 9NB
ladies clothing,Aroosa,Class 1,Vacant,Vacant,Class 1,16 LOCHRIN BUILDINGS,EH3 9NB
n/t/c & grocer,Costcutter,Class 1,Class 1,Class 1,Class 1,18 LOCHRIN BUILDINGS,EH3 9NB
wind instrument repair,Andrew May,Class 1,Class 1,Vacant,Class 1,20 LOCHRIN BUILDINGS,EH3 9NB
vacant,vacant,Class 2,Class 2,Class 1,Vacant,24 LOCHRIN BUILDINGS,EH3 9NB
charity shop,The Thrift Shop 2,Class 1,Class 1,Class 1,Class 1,26 LOCHRIN BUILDINGS,EH3 9NB
knitting & sewing products,Pins & Needles,Class 1,Vacant,Class 1,Class 1,28 LOCHRIN BUILDINGS,EH3 9NB
bathrooms,Portland Stone & Bathroom Co.,Class 4,Class 4,Vacant,Class 1,30-32 LOCHRIN BUILDINGS,EH3 9ND
solicitors,McGill & Co.,Class 4,Class 4,Class 4,Class 2,34 LOCHRIN BUILDINGS,EH3 9ND
"hairdresser & beauty parlour (Afro-Caribbean extensions, braiding etc.)",A Touch of Silk,Class 1,Class 4,Class 1,Class 1,48 LOCHRIN BUILDINGS,EH3 9ND
hairdresser,Hannah McLure,Class 1,Class 1,Class 1,Class 1,50 LOCHRIN BUILDINGS,EH3 9ND
lighting,David Browns,SUI GENERIS,SUI GENERIS,Class 1,Class 1,222 LEITH WALK,EH6 5EQ
hot food take-away,Capital,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,224 LEITH WALK,EH6 5EQ
printers,Arkay Imaging,Vacant,Vacant,Class 4,Class 4,228 LEITH WALK,EH6 5EQ
fishmonger,Richard Bee,Class 1,Class 1,Class 1,Class 1,230 LEITH WALK,EH6 5EQ
hot food take-away,Lan Thai,Class 1,Class 1,SUI GENERIS,SUI GENERIS,232 LEITH WALK,EH6 5EQ
elctrical appliances,White Goods,Vacant,Class 1,Class 1,Class 1,238 LEITH WALK,EH6 5EL
Beauty salon,Inner City Sanctum,Class 1,Class 1,Class 1,Class 1,240 LEITH WALK,EH6 5EL
hairdresser (gents),Pelaquero de Hombres,Class 1,Class 1,Class 1,Class 1,244 LEITH WALK,EH6 5EL
nail salon,Sunset Nails,Vacant,Vacant,Class 1,Class 1,246 LEITH WALK,EH6 5EL
second-hand furniture,Crawfords Furniture Salesrooms,Class 1,Class 1,Class 1,Class 1,250-252 LEITH WALK,EH6 5EL
hot food take-away,The Spicy pot,Class 1,Vacant,Class 3,SUI GENERIS,256 LEITH WALK,EH6 5EL
public house,Balfours,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,260-262 LEITH WALK,EH6 5EL
hot food take-away,Best Kebab,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,266 LEITH WALK,EH6 5EL
pet shop,Dog Gone Purfect,Class 1,Class 1,Class 1,Class 1,268 LEITH WALK,EH6 5EL
hairdresser,International Barber,Class 1,Class 1,Class 1,Class 1,272 LEITH WALK,EH6 5EL
letting agent,Brick Letting,Class 2,Class 2,Vacant,Class 2,274 LEITH WALK,EH6 5EL
bicycles,Leith Cycle Co.,Vacant,Class 1,Class 1,Class 1,276 LEITH WALK,EH6 5BX
vacant,vacant,Class 1,Class 1,Class 1,Vacant,278 LEITH WALK,EH6 5BX
hairdresser (gents),Leith Walk Barber's Salon,Class 1,Class 1,Class 1,Class 1,280 LEITH WALK,EH6 5BX
t.v. & hi-fi repair,Sound and Vision,Class 1,Class 1,Class 1,Class 1,284 LEITH WALK,EH6 5BX
restaurant (Chinese),Chimei,Vacant,Class 3,Class 3,Class 3,294 LEITH WALK,EH6 5BX
public house,The Harp and Castle,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,298-300 LEITH WALK,EH6 5BU
Chinese supermarket,Hing Sing,,,Class 1,Class 1,310 LEITH WALK,EH6 5BU
car parts & accessories,Pilrig Motors,Class 1,Class 1,Class 1,Class 1,328(PF)-330 LEITH WALK,EH6 5BU
advocacy service,Advocard,,,Vacant,Class 2,332 LEITH WALK,EH6 5BR
grocer,Polypak continental foods,,,Class 1,Class 1,336B LEITH WALK,EH6 5BR
second-hand goods,The Wee Leith Shop,,,Class 1,Class 1,340A LEITH WALK,EH6 5BR
launderette,Launderette,Class 1,Class 1,Class 1,Class 1,342-346 LEITH WALK,EH6 5BR
financial services - mortgages,First Mortgage Direct Ltd,Class 2,Class 2,Class 2,Class 2,348 LEITH WALK,EH6 5BR
charity shop,St. Columba's Doo'cot,Class 1,Class 1,Class 1,Class 1,352 LEITH WALK,EH6 5BR
n/t/c,Amir and Sons,Class 1,Class 1,Class 1,Class 1,354 LEITH WALK,EH6 5BR
hot food take-away,Moon Room,Class 1,Vacant,Class 2,SUI GENERIS,356 LEITH WALK,EH6 5BR
tropical fish,Ocean Life,Class 1,Class 1,Class 1,Class 1,360 LEITH WALK,EH6 5BR
public house,Horseshoe,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,362 LEITH WALK,EH6 5BR
photograph processing,Photoprintz,Class 1,Class 1,Class 2,Class 1,366 LEITH WALK,EH6 5BR
second-hand goods / cheque cashing,Cash Converters,Class 1,Class 1,Class 1,Class 1,368 LEITH WALK,EH7 4PE
supermarket,Scotmid Late Shop,Class 1,Class 1,Class 1,Class 1,370 LEITH WALK,EH7 4PE
beauty salon,Lulu Beauty Spa,Class 2,Class 3,Class 1,Class 1,1-1A LEVEN STREET,EH3 9LH
supermarket,Scotmid,Class 1,Class 1,Class 1,Class 1,5(01)-21 LEVEN STREET,EH3 9LH
internet cafÚ,Here!,Class 1,Class 1,Class 1,Class 1,23 LEVEN STREET,EH3 9LH
residential letting agency,Capital Lettings,Vacant,Vacant,Class 2,Class 2,25 LEVEN STREET,EH3 9LH
hairdresser,King's Barbers,Class 1,Vacant,Class 1,Class 1,25B LEVEN STREET,EH3 9LH
vacant,vacant,Class 1,Class 1,Vacant,Vacant,27 LEVEN STREET,EH3 9LH
"clothing (retro, streetwear)",Joolz,Vacant,Class 1,Class 1,Class 1,29 LEVEN STREET,EH3 9LH
"jewellery, crafts",Joolz,Class 1,Class 1,Class 1,Class 1,31 LEVEN STREET,EH3 9LH
herbalist/acupuncture,Naturalway,Class 1,Class 1,Vacant,Class 2,35 LEVEN STREET,EH3 9LH
public house,The Auld Toll,,,SUI GENERIS,SUI GENERIS,37-39 LEVEN STREET,EH3 9LH
vacant,vacant,SUI GENERIS,Class 1,Class 1,Vacant,43 LEVEN STREET,EH3 9LH
public house,Bennets Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,8 LEVEN STREET,EH3 9LG
cafe,Cafe Ruby,,Class 1,Class 1,Class 3,12 LEVEN STREET,EH3 9LG
"pillows, cushions, duvets, eiderdowns",The Feather Company,Class 1,Class 1,Class 1,Class 1,14 LEVEN STREET,EH3 9LJ
New Age products,Monkey Temple,Class 1,Class 1,Vacant,Class 1,16 LEVEN STREET,EH3 9LJ
vacant,vacant,Class 1,Class 1,Vacant,Vacant,20 LEVEN STREET,EH3 9LJ
tailors (repairs/alterations),Tailoring,Class 1,Class 1,Vacant,Class 1,22 LEVEN STREET,EH3 9LJ
delicatessen (Mexican / Spanish),Lupe Pintos,Class 1,Class 1,Class 1,Class 1,24 LEVEN STREET,EH3 9LJ
"clothing alterations, tailoring, dressmaking",Italian Style,Class 2,Class 2,Class 1,Class 1,28 LEVEN STREET,EH3 9LJ
restaurant (Thai),Leven's,Class 3,Class 3,Class 3,Class 3,30-32 LEVEN STREET,EH3 9LJ
restaurant (Chinese),Panda Inn,Class 3,Class 3,Class 3,Class 3,36 LEVEN STREET,EH3 9LJ
restaurant & kebab house,Efes,Class 3,Class 3,Class 3,Class 3,42 LEVEN STREET,EH3 9LJ
cafÚ & take-away food,The Tree House,Class 1,Class 2,Class 3,Class 3,44 LEVEN STREET,EH3 9LJ
hot food take-away,New Fortune Cookie Take Away,Class 1,Class 2,Class 1,SUI GENERIS,129 LIBERTON BRAE,EH16 6LD
chemist,Flemming Pharmacy,Class 1,Class 1,Class 1,Class 1,131 LIBERTON BRAE,EH16 6LD
hairdresser,Denis Equi,Class 1,Class 1,Class 1,Class 1,135 LIBERTON BRAE,EH16 6LD
baker,Mathieson,Class 1,Class 1,Class 1,Class 1,135A LIBERTON BRAE,EH16 6LD
estate agent,Edinburgh Property Shop,Class 1,Class 1,Class 1,Class 2,137 LIBERTON BRAE,EH16 6LD
"greengrocer, florist",Capricorn,Class 1,Class 1,Class 1,Class 1,139 LIBERTON BRAE,EH16 6LD
wine merchant,Wine Rack,Vacant,Class 1,Class 1,Class 1,143 LIBERTON BRAE,EH16 6LD
n/t/c,Paper Rack,Class 1,Class 1,Class 1,Class 1,145 LIBERTON BRAE,EH16 6LD
office,no name on fascia,Class 1,Class 1,Class 2,Class 4,147 LIBERTON BRAE,EH16 6LD
grocer (lic.),"Food, News & Wine",Class 1,Class 1,Class 1,Class 1,151 LIBERTON BRAE,EH16 6LD
hot food take-away and restaurant,Maharajas,,,SUI GENERIS,SUI GENERIS,1-2 LIBERTON DAMS,EH16 6AJ
bank,Bank of Scotland,Class 2,Class 2,Class 2,Class 2,1 LIBERTON DRIVE,EH16 6NL
golfing equipment,American Golf Discount Centre,,,Class 1,Class 1,91A LIBERTON DRIVE,EH16 6NS
petrol filling station & shop,BP + Store,SUI GENERIS,SUI GENERIS,Class 1,Class 1,105 LIBERTON GARDENS,EH16 6ND
n/t/c (lic),Liberton News,Class 1,Class 1,Class 1,Class 1,2 LIBERTON GARDENS,EH16 6JR
butcher,K.Baird,Class 1,Class 1,Class 1,Class 1,2A LIBERTON GARDENS,EH16 6JR
post office,Liberton Gardens Post Office,Class 1,Class 1,Class 1,Class 1,4A LIBERTON GARDENS,EH16 6JR
car service center,Ace Car Repairs,,,Vacant,Class 1,,
printers,Image Printers,Vacant,Class 4,Class 4,Class 4,5 LINDSAY ROAD,EH6 4DT
office,SF (Joiners and Builders) Ltd,Class 4,Class 4,Vacant,Class 4,6 LINDSAY ROAD,EH6 4DT
dwelling,dwelling,Vacant,Vacant,Vacant,Class 9,,
vacant,vacant,Vacant,Vacant,Vacant,Vacant,23 LINDSAY ROAD,EH6 4DR
vacant,vacant,Vacant,Vacant,Vacant,Vacant,24 LINDSAY ROAD,EH6 4DR
n/t/c,Links Convenience Store,Class 1,Class 1,Class 1,Class 1,1 LINKS PLACE,EH6 7EZ
grocer,Star,Class 1,Vacant,Vacant,Class 1,1 LISTON PLACE,EH29 9BU
unknown,unknown,,,UNKNOWN USE,UNKNOWN USE,(51/1) LITTLE FRANCE CRES,EH16 4SA
bank,Royal Bank of Scotland,,,UNKNOWN USE,Class 2,(51/9-11) LITTLE FRANCE C,EH16 4SA
restaurant,Stoller,,,UNKNOWN USE,Class 3,(51/2) LITTLE FRANCE CRES,EH16 4SA
unknown,unknown,,,UNKNOWN USE,UNKNOWN USE,(51/3) LITTLE FRANCE CRES,EH16 4SA
grocer,Khyber Stores,Class 1,Class 1,Class 1,Class 1,60 LOCHRIN BUILDINGS,EH3 9ND
hairdresser (gents),Alfonsos,Class 1,Class 1,Class 1,Class 1,3 LOCHRIN PLACE,EH3 9QX
delicatessen,Made in France,Class 1,Class 1,Class 1,Class 1,5 LOCHRIN PLACE,EH3 9QX
"bicycle sales, hire & repairs",Bike Trax,,,Class 1,Class 1,11-13 LOCHRIN PLACE,EH3 9QX
public house,Cameo Bar,Class 1,Class 4,SUI GENERIS,SUI GENERIS,,
beads & crafts,The Bead Shop,Class 2,Vacant,Class 1,Class 1,14 LOCHRIN PLACE,EH3 9QY
restaurant (Indian),Indaba,Class 3,Class 3,Class 3,Class 3,3 LOCHRIN TERRACE,EH3 9QJ
restaurant (Chinese),Szechuan Chinese Restaurant,Class 3,Class 3,Class 3,Class 3,11 LOCHRIN TERRACE,EH3 9QJ
grocer,Naisha's,,,,Class 1,7 LOCHSIDE PLACE,EH12 9DF
hot food take-away,Piece Box,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 LOGIE GREEN ROAD,EH7 4EY
cleared site,cleared site,Class 1,Class 1,Class 1,Demolished,,
grocer,London Road Mini Market,Class 1,Class 1,Class 1,Class 1,1 LONDON ROAD,EH7 5AP
hot food take-away,Ruchi,Class 2,Class 2,Class 1,SUI GENERIS,3-4 LONDON ROAD,EH7 5AP
Computer sales and repairs,Escape,Class 1,Class 1,Vacant,Class 1,5 LONDON ROAD,EH7 5AP
driving school,Alan's School of Motoring,Class 4,Class 4,Class 4,Class 4,6 LONDON ROAD,EH7 5AP
n/t/c,M.Y. Newsagent,Class 1,Class 1,Class 1,Class 1,8-9 LONDON ROAD,EH7 5AP
hairdresser,Ice Hairdressing,Vacant,Class 1,Class 1,Class 1,10 LONDON ROAD,EH7 5AP
vacant,vacant,Vacant,Class 1,Vacant,Vacant,11 LONDON ROAD,EH7 5AP
ladies clothing,Natalia Messlin,Class 1,Class 1,Class 1,Class 1,13 LONDON ROAD,EH7 5AP
hairdresser,Dune,Class 1,Class 1,Class 1,Class 1,15-16 LONDON ROAD,EH7 5AT
health foods,Julian Graves,,,Class 1,Class 1,(51/4) LITTLE FRANCE CRES,EH16 4SA
vacant,vacant,,,Class 1,Vacant,(51/5) LITTLE FRANCE CRES,EH16 4SA
hairdresser,J & L Hair Design,,,Class 1,Class 1,(51/6) LITTLE FRANCE CRES,EH16 4SA
Asian dress fabrics,Crystal Fabrics & Jewellery,Vacant,Vacant,Class 1,Class 1,52 LOCHRIN BUILDINGS,EH3 9ND
beauty parlour,2 U Beauty,Class 1,Vacant,Class 1,Class 1,54 LOCHRIN BUILDINGS,EH3 9ND
videotape hire (Asian),Video Mahal,Class 1,Class 1,Class 1,Class 1,58 LOCHRIN BUILDINGS,EH3 9ND
office,Action for Children,Class 1,Class 4,,Class 2,17-18 LONDON ROAD,EH7 5AT
barber,Classic Barber,,,Class 1,Class 1,,
pictures,The Art Mart,Class 1,Class 4,Class 1,Class 1,21-22 LONDON ROAD,EH7 5AY
grocer (lic.),Booze n News,Class 1,Class 1,Class 1,Class 1,23-24 LONDON ROAD,EH7 5AY
tattoo parlour,Assylum,Class 1,Class 1,Class 2,Class 2,25 LONDON ROAD,EH7 5AY
design studio,Birght City Design,Class 1,Class 1,Class 1,Class 4,26 LONDON ROAD,EH7 5AY
bank,Lloyds TSB Scotland,Class 2,Class 2,Class 2,Class 2,29-30 LONDON ROAD,EH7 5BB
public house,Artisan Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,35-36 LONDON ROAD,EH7 5BQ
podiatrist,Abbeyhill Footcare,Vacant,Vacant,Class 2,Class 2,41 LONDON ROAD,EH7 5SW
betting shop,Scotbet,Class 2,Class 2,Class 2,Class 2,42 LONDON ROAD,EH7 5SW
cafÚ,Bumbles,Class 3,Class 3,Class 3,Class 3,45-46 LONDON ROAD,EH7 5SP
financial services - cheque cashing,The Cheque Shop,Class 1,Vacant,Class 2,Class 2,47 LONDON ROAD,EH7 5SP
solicitors & estate agents,Campbells,Class 1,Class 2,Class 2,Class 2,49 LONDON ROAD,EH7 5SP
restaurant & hot food take-away,McDonalds,,,Class 3,Class 3,59 LONDON ROAD,EH7 6AA
kitchen and bathrooms,Ashley Ann,,,Class 1,Class 1,63 LONDON ROAD,EH7 6AA
sauna & massage parlour,London Street Sauna,,,Class 11,Class 11,40-41 LONDON STREET,EH3 6LX
vacant,vacant,Class 1,Class 2,Class 1,Vacant,42 LONDON STREET,EH3 6LX
housing association,Cairn Housing Association,,,Class 2,Class 2,43-46 LONDON STREET,EH3 6LX
vacant,vacant,,,Class 1,Vacant,44 LONDON STREET,EH3 6LX
grocer,London Street Grocery,Class 1,Class 1,Class 1,Class 1,47 LONDON STREET,EH3 6LX
public house,Mezz,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,49-51 LONDON STREET,EH3 6LX
tattoo parlour,Tribe 3 Tattoo,Class 1,Class 4,Class 2,Class 2,,
dvd hire,Moviebank,Class 1,Class 1,Vacant,Class 1,53 LONDON STREET,EH3 6LX
betting shop,Ladbrokes,Class 2,Class 2,Class 2,Class 2,41 LONGSTONE ROAD,EH14 2BB
hot food take-away,Gino's Fish & Chip Shop,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,43 LONGSTONE ROAD,EH14 2BB
grocer & n/t/c,Khalsa Superstore,Class 1,Class 1,Class 1,Class 1,45-47 LONGSTONE ROAD,EH14 2BB
public house,Longstone Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,30 LONGSTONE ROAD,EH14 2BH
hot food take-away,Jaflong,Class 1,Class 1,SUI GENERIS,SUI GENERIS,38 LONGSTONE ROAD,EH14 2BH
flooring,Carpets EC Flooring Ltd,Class 4,Class 4,Class 1,Class 1,44 LONGSTONE ROAD,EH14 2BH
hairdresser,Short & Curly's,Class 1,Class 1,Class 1,Class 1,48 LONGSTONE ROAD,EH14 2BH
education centre,Kip McGrath,Class 1,Class 1,Class 1,Class 4,44B MAIN STREET,EH14 7EH
dwelling,dwelling,Class 1,Class 1,Class 9,Class 9,,
joinery workshop,Dalmeny Joinery,Class 1,Class 1,Class 1,Class 4,,
optician,Black & Lizars,Class 1,Class 1,Class 1,Class 1,,
take-away food,Cafferty's,,,Class 1,Class 1,"19 MAIN STREET, DAVIDSON'",EH4 5BZ
hairdresser,Urban Angel,Class 4,Class 4,Class 1,Class 1,6 LORD RUSSELL PLACE,EH9 1NQ
vacant,vacant,Class 1,Class 1,Vacant,Vacant,31 LORNE STREET,EH6 8QW
dwelling,dwelling,Class 1,Vacant,Vacant,Class 9,,
dwelling,dwelling,Class 4,Class 4,Vacant,Class 9,,
n/t/c,Lorne Newsagents,Class 1,Class 1,Class 1,Class 1,73 LORNE STREET,EH6 8QG
vacant,vacant,,Class 1,Vacant,Vacant,4 LORNE STREET,EH6 8QU
vacant,vacant,,,Vacant,Vacant,16 LORNE STREET,EH6 8QP
cafÚ,Cornerstone CafÚ,Class 1,Class 1,Class 3,Class 3,3A(3) LOTHIAN ROAD,EH1 2EP
community facility,Peace & Justice Resource Centre,,,Class 2,Class 2,3A(5) LOTHIAN ROAD,EH1 2EP
crafts / gifts,One World Shop,,,Class 1,Class 1,3A(6) LOTHIAN ROAD,EH1 2EP
books,Cornerstone Bookshop,Class 4,Class 1,Class 1,Class 1,3B LOTHIAN ROAD,EH1 2EP
public house,Vat & Fiddle,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,21 LOTHIAN ROAD,EH1 2DJ
betting shop,William Hill,Class 11,Class 11,Class 11,Class 2,25 LOTHIAN ROAD,EH1 2DJ
hearing aids,Amplivox Ultratone,Class 2,Class 2,Class 2,Class 2,37 LOTHIAN ROAD,EH1 2DJ
jewellery,Ocean Jewellery,Class 1,Class 1,Class 3,Class 1,39 LOTHIAN ROAD,EH1 2DJ
coffee shop,CafÚ Nero,Class 1,Class 1,Class 3,Class 3,43-45 LOTHIAN ROAD,EH1 2DJ
solicitors & estate agents,Drummond Miller WS,,,Class 2,Class 2,47 LOTHIAN ROAD,EH1 2DJ
"n/t/c, souvenirs & gifts",The Latest News,,,Class 1,Class 1,49 LOTHIAN ROAD,EH1 2DJ
stationery,Paper Tiger,Class 1,Class 1,Class 1,Class 1,53 LOTHIAN ROAD,EH1 2DJ
vacant,vacant,Class 1,Class 1,Class 1,Vacant,55 LOTHIAN ROAD,EH1 2DJ
sandwiches,Frsh Cut,Class 1,Class 1,Class 1,Class 1,57 LOTHIAN ROAD,EH1 2DJ
take-away food,Simply Sandwiches,Class 1,Class 1,Class 1,Class 1,59 LOTHIAN ROAD,EH1 2DJ
sandwiches,Baguette Express,SUI GENERIS,SUI GENERIS,Vacant,Class 1,63 LOTHIAN ROAD,EH1 2DJ
public house,Shakespeares,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,65 LOTHIAN ROAD,EH1 2DJ
restaurant,Nando's,Vacant,Class 1,Class 1,Class 3,71 LOTHIAN ROAD,EH3 9AW
sandwiches & outside catering,La Baguette,,,Class 1,Class 1,75 LOTHIAN ROAD,EH3 9AW
hairdresser,Cheynes,,,Class 1,Class 1,77 LOTHIAN ROAD,EH3 9AW
public house,Sapphire Rooms,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,81-83 LOTHIAN ROAD,EH3 9AW
restaurant & hot food take-away (Italian),Darios Pizzeria Ristorante,Class 3,Class 3,Class 3,Class 3,85-87 LOTHIAN ROAD,EH3 9AW
public house,Bottoms Up Showbar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,93 LOTHIAN ROAD,EH3 9AW
restaurant (Italian),Lazio,Class 3,Class 3,Class 3,Class 3,95 LOTHIAN ROAD,EH3 9AW
toys,Wonderland,,,Class 1,Class 1,97-101 LOTHIAN ROAD,EH3 9AN
vacant,vacant,Class 1,Class 11,Class 1,Vacant,103 LOTHIAN ROAD,EH3 9AN
restaurant (Indian),Club India,Class 3,Class 3,Class 3,Class 3,105-109 LOTHIAN ROAD,EH3 9AN
restaurant & hot food take-away,Illegal Jack's,Vacant,Class 3,Class 3,Class 3,113-117 LOTHIAN ROAD,EH3 9AN
restaurant (Japanese & Chinese),Izzi,Class 1,Class 3,Class 3,Class 3,119 LOTHIAN ROAD,EH3 9AN
coffee shop,Starbucks,Class 2,Vacant,Class 3,Class 3,123 LOTHIAN ROAD,EH3 9AN
grocer / convenience store,Costcutter,Class 2,Vacant,Class 1,Class 1,125 LOTHIAN ROAD,EH3 9AD
hairdresser,Paterson SA,Class 1,Class 1,Class 1,Class 1,127(GF)-131 LOTHIAN ROAD,EH3 9AD
public house,Mr Modo's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,133-135 LOTHIAN ROAD,EH3 9AD
household goods,Ali's Cave,Class 1,Class 1,Class 1,Class 1,139-145 LOTHIAN ROAD,EH3 9AD
shoe repairs / key cutting / watch repairs / nameplates / engraving etc.,Timpson,Class 1,Class 1,Class 1,Class 1,149 LOTHIAN ROAD,EH3 9AA
shoes & footwear,Jones,Class 1,Class 1,Class 1,Class 1,151-153 LOTHIAN ROAD,EH3 9AA
betting shop,William Hill,Class 3,Class 3,Class 3,Class 2,157-159 LOTHIAN ROAD,EH3 9AA
public house,Anderson's,SUI GENERIS,SUI GENERIS,Vacant,SUI GENERIS,161 LOTHIAN ROAD,EH3 9AA
bank,Lloyds TSB Scotland,Class 2,Class 2,Class 2,Class 2,165 LOTHIAN ROAD,EH3 9AA
bank,Clydesdale Bank,,,Class 2,Class 2,50 LOTHIAN ROAD,EH3 9BT
public house,All Bar One,,,SUI GENERIS,SUI GENERIS,50(B) LOTHIAN ROAD,EH3 9BT
vacant,vacant,Vacant,Class 2,Class 2,Vacant,90-92 LOTHIAN ROAD,EH3 9BE
optician,Black & Lizars,Class 1,Class 1,Class 1,Class 1,98 LOTHIAN ROAD,EH3 9BE
restaurant (Italian),Bar Italia,Class 3,Class 3,Class 3,Class 3,100-104 LOTHIAN ROAD,EH3 9BE
sports equipment & clothing,Run 4 It,Class 1,Class 1,Class 1,Class 1,108-110 LOTHIAN ROAD,EH3 9BE
funeral directors,W.T. Dunbar & Sons,,,Class 1,Class 1,112 LOTHIAN ROAD,EH3 9BE
cafÚ,Espresso Mondo,Class 4,Class 1,Class 3,Class 3,116 LOTHIAN ROAD,EH3 9BE
sandwiches,Subway,Class 1,Class 1,Class 1,Class 1,122 LOTHIAN ROAD,EH3 9BG
vacant,vacant,Class 1,Class 1,Class 1,Vacant,126 LOTHIAN ROAD,EH3 9BG
sporting goods,Football Nation,Class 1,Class 1,,Class 1,128 LOTHIAN ROAD,EH3 9BG
vacant,vacant,Class 1,Class 1,,Vacant,130 LOTHIAN ROAD,EH3 9BG
sandwiches,Philpott's,Class 1,Class 1,Class 1,Class 1,132 LOTHIAN ROAD,EH3 9BG
