Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed
0,Sheffield Extra,8,18991230,348,,,,Stainless Steel,,Y,0,0,18991230
0,Sheffield Extra,16,18991230,349,Check number/finish,Sainsburys,Sainsburys,,,Y,0,0,18991230
0,Sheffield Extra,8,18991230,350,"Check no, type, finish",,,,,Y,0,0,18991230
0,Sheffield,4,18991230,351,Not very visible,,,Stainless steel,,Y,0,0,18991230
0,Sheffield,14,18991230,352,,NHS,WGH - Outpatients building,Blue paint,,Y,0,0,18991230
0,Sheffield,8,18991230,353,,NHS,WGH - Outpatients building,,,Y,0,0,18991230
0,Sheffield,4,18991230,354,,,,Black,,Y,0,0,18991230
0,Cyclehoop,2,18991230,355,,CEC,West Nicolson Street,Black,,Y,0,0,18991230
0,Cyclehoop,2,18991230,356,,CEC,West Nicolson Street,Black,,Y,0,0,18991230
0,Sheffield Extra,4,18991230,357,,CEC,,Black,,Y,0,0,18991230
0,Bespoke,2,18991230,358,Not clear if for cycles,,,,,Y,0,0,18991230
0,Bespoke,2,18991230,359,Not clear if for cycles,,,,,Y,0,0,18991230
0,Sheffield Extra,4,18991230,360,,CEC,,Black,,Y,0,0,18991230
0,Sheffield Extra,4,18991230,361,,CEC,,Black,,Y,0,0,18991230
0,Cyclehoop,2,18991230,362,,,,Black,,Y,0,0,18991230
0,Sheffield Extra,4,18991230,363,,CEC,Easter Road,Black,N,Y,0,0,18991230
0,Sheffield Extra,4,18991230,364,,CEC,Easter Road,Black,N,Y,0,0,18991230
