"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
Causewayside,Grange,"Salisbury Place","Kittle Yards",186.1,1B,P018_Sciennes_Newing
Causewayside,Grange,Causewayside,"Grange Road",57.74,1B,P018_Sciennes_Newing
Causewayside,Grange,"Sciennes House Place",Causewayside,51.92,1B,P018_Sciennes_Newing
Causewayside,Grange,"West Preston Street","East Sciennes Street",51.26,1B,P018_Sciennes_Newing
Causewayside,Grange,"East Sciennes Street","Sciennes House Place",82.64,1B,P018_Sciennes_Newing
"Cavalry Park Drive",,"End of cul de sac","Cavalry Park Drive",28.63,1B,P021_Duddingston
"Cavalry Park Drive",,"Cavalry Park Drive","End of cul de sac",210.9,1B,P021_Duddingston
"Cavalry Park Drive",,"Cavalry Park Drive","Cavalry Park Drive",94.36,1B,P021_Duddingston
"Cavalry Park Drive",,"Cavalry Park Drive","Cavalry Park Drive",109.5,1B,P021_Duddingston
"Cavalry Park Drive",,"Cavalry Park Drive","End of cul de sac",417.6,1B,P021_Duddingston
"Chalmers Street",Newington,"Wharton Square","Coronation Walk",133.7,1B,P017_Morningside_Bru
"Chalmers Street",Newington,"Lauriston Place","Wharton Square",141.7,1B,P017_Morningside_Bru
"Chambers Street","Old Town","South Bridge","Guthrie Street",73.1,1A,P002_CityCentreSouth
"Chambers Street","Old Town","Guthrie Street","West College Street",52.54,1A,P002_CityCentreSouth
"Chambers Street","Old Town","West College Street","Forrest Road",192.7,1A,P002_CityCentreSouth
"Chancelot Path",Warriston,"Warriston Walkway","Chancelot Path",398,1B,CYC001_North
"Chancelot Path",Warriston,"Chancelot Path","Cycle Track From Trinity Station To Cale",365,1B,CYC001_North
"Chancelot Terrace",Bonnington,"Bonar Place","Craighall Road",74.22,1B,P026_Trinity
"Chancelot Terrace",Bonnington,"Craighall Road","Chancelot Crescent",97.75,1B,P026_Trinity
"Chapel Street","South Side","Windmill Street","West Crosscauseway",63.25,1B,P018_Sciennes_Newing
"Chapel Street","South Side","Crichton Street","Windmill Street",50.55,1B,P018_Sciennes_Newing
"Charlotte Square","New Town","North Charlotte Street","George Street",51.66,1A,P001_CityCentreNorth
"Charlotte Square","New Town","South Charlotte Street","Charlotte Square",128,1A,P001_CityCentreNorth
"Charlotte Square","New Town","Charlotte Square","Charlotte Square",100.9,1A,P001_CityCentreNorth
"Charlotte Square","New Town","Charlotte Square","Charlotte Square",27.04,1A,P001_CityCentreNorth
"Charlotte Square","New Town","Charlotte Square","Charlotte Square",81.32,1A,P001_CityCentreNorth
"Charlotte Square","New Town","George Street","South Charlotte Street",79.12,1A,P001_CityCentreNorth
"Chesser Avenue",Slateford,"Hutchison Avenue","Slateford Road",105,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Chesser Avenue","Chesser Grove",53.71,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Chesser Avenue","Gorgie Road",35.81,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Chesser Grove","Chesser Crescent",67.03,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Chesser Loan","Hutchison Road",253.3,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Chesser Crescent","Chesser Loan",77.47,1B,P029_Gorgie_Slatefor
"Chesser Avenue",Slateford,"Hutchison Road","Hutchison Avenue",128.6,1B,P029_Gorgie_Slatefor
"Cheyne Street",Stockbridge,"Raeburn Place","Dean Street",132.2,1B,P027_Stockbridge
"Circus Place",Stockbridge,"Royal Circus","Royal Circus",121.7,1B,P027_Stockbridge
"Claremont Park",Lochend,"Claremont Road","Pirniefield Place",240.3,1B,P024_Lochend_Restalr
"Claremont Park",Lochend,"Summerfield Gardens","Claremont Road",132.4,1B,P024_Lochend_Restalr
"Claremont Road",Lochend,"Clarebank Crescent","Prospect Bank Road",107.2,1B,P024_Lochend_Restalr
"Clark Road",Trinity,"Denham Green Terrace","Denham Green Avenue",113.1,1B,P026_Trinity
"Clark Road",Trinity,"Clark Place","Bangholm Avenue",37.16,1B,P026_Trinity
"Clark Road",Trinity,"Bangholm Avenue","Ferry Road",77.25,1B,P026_Trinity
"Clark Road",Trinity,"Bangholm Road","Clark Place",34.18,1B,P026_Trinity
"Clark Road",Trinity,"Denham Green Avenue","Bangholm Road",60.17,1B,P026_Trinity
"Clark Road",Trinity,"East Trinity Road","Denham Green Terrace",107.4,1B,P026_Trinity
"Clearburn Road",Prestonfield,"Priestfield Road","Prestonfield Road",164.2,1B,P018_Sciennes_Newing
"Clerk Street",Newington,"Montague Street","Rankeillor Street",77.9,1B,P018_Sciennes_Newing
"Clerk Street",Newington,"Rankeillor Street","St Patrick Square",100.3,1B,P018_Sciennes_Newing
"Clermiston Drive",Barnton,"Clermiston Avenue","Clermiston Drive",17.12,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Drum Brae Terrace","Drum Brae Drive",89.23,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Drum Brae Crescent","Drum Brae Terrace",83.4,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Parkgrove Road","Drum Brae Crescent",100,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Parkgrove Crescent","Parkgrove Road",107.6,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Parkgrove Terrace","Parkgrove Crescent",140.8,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Clermiston Drive","Parkgrove Terrace",101.4,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Clermiston Drive","Clermiston Drive",118.6,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Clermiston Drive","Clermiston Avenue",14.14,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Clermiston Drive","Clermiston Drive",32.02,1B,P014_Clermiston_Cram
"Clermiston Drive",Barnton,"Clermiston Drive","End of cul de sac",46.91,1B,P014_Clermiston_Cram
"Clermiston Road",Corstorphine,"Fox Covert Avenue","Drum Brae Drive",183.9,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Clerwood Terrace","Falkland Gardens",205.9,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Belgrave Terrace","Forrester Road",51.03,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"St John's Road","Belgrave Terrace",78.3,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Clermiston Road","Clerwood Terrace",110.7,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Clermiston Road","Clermiston Road",176.7,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Clermiston Road","End of cul de sac",73.11,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Caroline Terrace","Cairnmuir Road",80.29,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Forrester Road","Gordon Road",71.06,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Gordon Road","Old Kirk Road",66.07,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Old Kirk Road","Hillview Terrace",36.06,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Corstorphine Hill Crescent","Caroline Terrace",37.36,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Hillview Terrace","Corstorphine Hill Crescent",199.9,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Clermiston Road","Cairnmuir Road",98.76,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Falkland Gardens","Rannoch Road",103.3,1B,P013_Corstorphine
"Clermiston Road",Corstorphine,"Rannoch Road","Fox Covert Avenue",100.5,1B,P013_Corstorphine
"Clermiston Road North",Barnton,"Clermiston Road North","Clermiston Road North",370.5,1B,P014_Clermiston_Cram
"Clermiston Road North",Barnton,"Drum Brae Drive","Clermiston Road North",186.1,1B,P014_Clermiston_Cram
"Clermiston Road North",Barnton,"Queensferry Road","Clermiston Road North",85.9,1B,P014_Clermiston_Cram
"Clifton Terrace","New Town","Clifton Terrace","Rosebery Crescent",55.09,1B,P028_Roseburn
"Clifton Terrace","New Town",Haymarket,"Clifton Terrace",44.35,1B,P028_Roseburn
"Clovenstone Drive",Westerhailes,"Clovenstone Park","Clovenstone Drive",552.6,1B,P011_Wester_Hailes
"Clovenstone Drive",Westerhailes,"Clovenstone Park","Clovenstone Road",40.57,1B,P011_Wester_Hailes
"Clovenstone Drive",Westerhailes,"Clovenstone Drive","Clovenstone Park",191.1,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Road","Clovenstone Gardens",165.7,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Gardens",78.05,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Gardens",244.8,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Gardens",38.47,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Gardens",170.1,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Gardens",208.4,1B,P011_Wester_Hailes
"Clovenstone Gardens",Westerhailes,"Clovenstone Gardens","Clovenstone Park",136.3,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Clovenstone Park","Clovenstone Gardens",165,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Alcorn Square","Clovenstone Park",49.34,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Clovenstone Park","Clovenstone Park",70.6,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Clovenstone Park","Clovenstone Park",119.5,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Clovenstone Park","Clovenstone Park",222.6,1B,P011_Wester_Hailes
"Clovenstone Park",Westerhailes,"Clovenstone Drive","Alcorn Square",20.44,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Harvesters Way","Clovenstone Drive",40.72,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Wester Hailes Park","Clovenstone Road",159.8,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Road","Clovenstone Drive",41.89,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Road","Clovenstone Gardens",94.05,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Hailesland Road","Hailesland Place",57.05,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Hailesland Place","Clovenstone Road",143.1,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Gardens","Wester Hailes Park",147.6,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Roundabout","Clovenstone Road",47.91,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Road","Clovenstone Road",61.31,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Road","Harvesters Way",37.2,1B,P011_Wester_Hailes
"Clovenstone Road",Westerhailes,"Clovenstone Road","End of cul de sac",42.81,1B,P011_Wester_Hailes
"Coates Place","New Town","Torphichen Street","Torphichen Street",49.2,1A,P001_CityCentreNorth
"Cockburn Crescent",Balerno,"Mansfield Road","Cockburn Crescent",32.7,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Cockburn Crescent","Threipmuir Avenue",75.21,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Threipmuir Avenue","Greenfield Crescent",139.7,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Greenfield Crescent","Whitelea Road",199.5,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Whitelea Road","Highlea Circle",271.7,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Highlea Circle","Cairns Drive",249.7,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Cockburnhill Road","Glenbrook Road",108.1,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Crosswood Crescent","Cockburnhill Road",106.6,1A,P007_Balerno
"Cockburn Crescent",Balerno,"Cairns Drive","Crosswood Crescent",151.6,1A,P007_Balerno
"Cockburn Street","Old Town","High Street","Waverley Bridge",246.1,1A,P001_CityCentreNorth
"Coillesdene Avenue",Joppa,"Coillesdene Terrace","Coillesdene Drive",99.34,1B,P023_Portobello
"Coillesdene Avenue",Joppa,"Coillesdene Terrace","Coillesdene Gardens",98.76,1B,P023_Portobello
"Coillesdene Avenue",Joppa,"Milton Drive","Coillesdene Gardens",83.17,1B,P023_Portobello
"Coillesdene Drive",Joppa,"Musselburgh Road","Woodside Terrace",57.22,1B,P023_Portobello
"Coillesdene Drive",Joppa,"Woodside Terrace","Coillesdene Grove",56.32,1B,P023_Portobello
"Coillesdene Drive",Joppa,"Coillesdene Grove","Coillesdene Avenue",31.14,1B,P023_Portobello
"Colinton Mains Drive",Firrhill,"End of cul de sac","End of cul de sac",30.11,1A,P006_Oxgangs
"Colinton Mains Drive",Firrhill,"Colinton Mains Gardens","Colinton Mains Green",294.1,1A,P006_Oxgangs
"Colinton Mains Drive",Firrhill,"Colinton Mains Crescent","Oxgangs Terrace",134.7,1A,P006_Oxgangs
"Colinton Mains Drive",Firrhill,"Colinton Mains Terrace","Colinton Mains Crescent",148.5,1A,P006_Oxgangs
"Colinton Mains Drive",Firrhill,"Colinton Mains Green","Colinton Mains Terrace",252.4,1A,P006_Oxgangs
"Colinton Mains Drive",Firrhill,"Oxgangs Road North","Colinton Mains Gardens",101.2,1A,P006_Oxgangs
"Colinton Mains Gardens",Firrhill,"Oxgangs Road North","Colinton Mains Drive",170.4,1A,P006_Oxgangs
"Colinton Road",Firrhill,"South Ettrick Road","Tipperlinn Road",81.94,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Merchiston Avenue","Morningside Road",60.04,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Westgarth Avenue","Woodhall Road",59.54,1A,P009_Colinton
"Colinton Road",Firrhill,"Rustic Cottages","Westgarth Avenue",45.05,1A,P009_Colinton
"Colinton Road",Firrhill,"Redford Road","Thorburn Road",50.77,1A,P009_Colinton
"Colinton Road",Firrhill,"Redford Road","Old Farm Court",101,1A,P009_Colinton
"Colinton Road",Firrhill,"Old Farm Court","Colinton Road",108.9,1A,P009_Colinton
"Colinton Road",Firrhill,"Colinton Road","Colinton Road",147.2,1A,P009_Colinton
"Colinton Road",Firrhill,"Colinton Road","Colinton Road",78.64,1A,P009_Colinton
"Colinton Road",Firrhill,"Colinton Road","Colinton Road",102.9,1A,P009_Colinton
"Colinton Road",Firrhill,"Colinton Road","Paties Road",129.7,1A,P009_Colinton
"Colinton Road",Firrhill,"Paties Road","Colinton Road",121.9,1A,P009_Colinton
"Colinton Road",Firrhill,"Colinton Road","Elliot Gardens",115.1,1A,P009_Colinton
"Colinton Road",Firrhill,"Elliot Gardens","Colinton Road",136.5,1A,P009_Colinton
"Colinton Road",Firrhill,"Craiglockhart Road","Colinton Road",100.2,1A,P006_Oxgangs
"Colinton Road",Firrhill,"Craiglockhart Park","Craiglockhart Road",121.7,1A,P006_Oxgangs
"Colinton Road",Firrhill,"Colinton Road","Craiglockhart Park",295.7,1A,P006_Oxgangs
"Colinton Road",Firrhill,"Craiglockhart Avenue","Colinton Road",65.78,1A,P006_Oxgangs
"Colinton Road",Firrhill,"Glenlockhart Valley","Craiglockhart Avenue",232.7,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Craiglockhart Road North","Glenlockhart Valley",204.4,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Lockharton Avenue","Craiglockhart Road North",95.02,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Lockharton Crescent","Lockharton Avenue",152.6,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Colinton Road","Lockharton Crescent",107.9,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"North Meggetland","Colinton Road",153,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Meggetland Terrace","North Meggetland",133.6,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Craiglockhart Terrace","Meggetland Terrace",70.5,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Polwarth Terrace","Craiglockhart Terrace",155.7,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Polwarth Terrace","Merchiston Gardens",233.7,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Merchiston Gardens","South Gillsland Road",236.8,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"South Gillsland Road","South Ettrick Road",203.3,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Abbotsford Crescent","Tipperlinn Road",180.8,1B,P017_Morningside_Bru
"Colinton Road",Firrhill,"Abbotsford Crescent","Merchiston Avenue",216.2,1B,P017_Morningside_Bru
"Collier Place",Niddrie,"Collier Place","Collier Place",45.88,1B,P021_Duddingston
"Collier Place",Niddrie,"Collier Place","Niddrie Mains Terrace",95.63,1B,P021_Duddingston
"Collier Place",Niddrie,"Collier Place","Collier Place",32.77,1B,P021_Duddingston
"Collier Place",Niddrie,"Collier Place","Collier Place",33.58,1B,P021_Duddingston
"Comely Bank",Stockbridge,"Comely Bank Road","Comely Bank Street",90.29,1B,P027_Stockbridge
"Comely Bank",Stockbridge,"Comely Bank Street","Learmonth Grove",89.5,1B,P027_Stockbridge
"Comely Bank",Stockbridge,"Learmonth Grove","Fettes Avenue",91.22,1B,P027_Stockbridge
"Comely Bank",Stockbridge,"Fettes Avenue","Comely Bank Roundabout",209.2,1B,P027_Stockbridge
"Comely Bank Road",Stockbridge,"Portgower Place","Dean Park Street",30.41,1B,P027_Stockbridge
"Comely Bank Road",Stockbridge,"Comely Bank","North Park Terrace",76.81,1B,P027_Stockbridge
"Comely Bank Road",Stockbridge,"North Park Terrace","Comely Bank Place",31.4,1B,P027_Stockbridge
"Comely Bank Road",Stockbridge,"Comely Bank Place","Dean Park Street",117.7,1B,P027_Stockbridge
"Comiston Road",Cluny,"Comiston Road","Comiston Road",32.3,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Craiglea Drive","Comiston Terrace",34.79,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Comiston Road","Comiston Road",99.52,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Morningside Road","Morningside Drive",57.27,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Comiston Terrace","Comiston Road",210.4,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Comiston Gardens","Craiglea Drive",78.11,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Morningside Drive","Comiston Gardens",137.9,1B,P017_Morningside_Bru
"Comiston Road",Cluny,"Comiston Road","Pentland Terrace",384.1,1A,P005_Fairmilehead
"Comiston Springs Avenue",Pentland,"Pentland Terrace","Comiston Springs Avenue",100.2,1A,P005_Fairmilehead
"Comiston Springs Avenue",Pentland,"Pentland Gardens","Comiston Springs Avenue",38.41,1A,P005_Fairmilehead
"Constitution Street","South Leith","Laurie Street","Leith Walk",97.83,1B,"P025_Leith Route"
"Constitution Street","South Leith","Coatfield Lane","Laurie Street",204.7,1B,"P025_Leith Route"
"Constitution Street","South Leith","Queen Charlotte Street","Coatfield Lane",119.4,1B,"P025_Leith Route"
"Constitution Street","South Leith","Mitchell Street","Queen Charlotte Street",109.7,1B,"P025_Leith Route"
"Constitution Street","South Leith","Baltic Street","Mitchell Street",116,1B,"P025_Leith Route"
"Corbiehill Road",Corbiehill,"House O'hill Brae","Corbiehill Avenue",58.82,1B,P019_DavidsonMains_P
"Corbiehill Road",Corbiehill,"Vivian Terrace","Main Street",132.2,1B,P019_DavidsonMains_P
"Corbiehill Road",Corbiehill,"Vivian Terrace","Vivian Terrace",160.2,1B,P019_DavidsonMains_P
"Corbiehill Road",Corbiehill,"Corbiehill Avenue","Vivian Terrace",119.9,1B,P019_DavidsonMains_P
"Corbiehill Road",Corbiehill,"House O'hill Crescent","House O'hill Brae",26.32,1B,P019_DavidsonMains_P
"Corbiehill Road",Corbiehill,"Hillhouse Road","House O'hill Crescent",106.1,1B,P019_DavidsonMains_P
"Corslet Crescent",Riccarton/muirwood,"Thomson Road","Thomson Crescent",290.5,1A,P008_Currie
"Corslet Place",Riccarton/muirwood,"Muir Wood Road","Bryce Road",111.4,1A,P008_Currie
"Corslet Road",Riccarton/muirwood,"Muir Wood Road","Riccarton Mains Road",273.7,1A,P008_Currie
"Corstorphine High Street",Broomhall,"End of cul de sac","Manse Road",105.1,1B,P013_Corstorphine
"Corstorphine High Street",Broomhall,"Manse Road","Ladywell Avenue",234.6,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Roseburn Terrace","Murrayfield Gardens",31.76,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Downie Terrace","St Catherine's Gardens",42.63,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Western Terrace","Western Gardens",41.9,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Riversdale Crescent","Western Terrace",123.4,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"St Catherine's Gardens",Pinkhill,64.46,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Corstorphine Road","Downie Terrace",72.09,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Corstorphine Road","St John's Road",75.28,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Corstorphine Road","Balgreen Road",183.5,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,Pinkhill,"Corstorphine Road",256.7,1B,P013_Corstorphine
"Corstorphine Road",Murrayfield,"Balgreen Road","Belmont Crescent",291.9,1B,P029_Gorgie_Slatefor
"Corstorphine Road",Murrayfield,"Ormidale Terrace","Riversdale Crescent",174.3,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Ormidale Terrace","Murrayfield Gardens",236.8,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Western Gardens","Western Place",81.88,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Western Place","Ellersly Road",83.07,1B,P028_Roseburn
"Corstorphine Road",Murrayfield,"Belmont Crescent","Ellersly Road",207.2,1B,P029_Gorgie_Slatefor
Cowgate,"Old Town","Pollock's Close","George IV Bridge",52.26,1A,P002_CityCentreSouth
Cowgate,"Old Town","George IV Bridge","Old Fishmarket Close",172.8,1A,P002_CityCentreSouth
Cowgate,"Old Town","Blair Street","Niddry Street",53.51,1A,P002_CityCentreSouth
Cowgate,"Old Town","Candlemaker Row","Pollock's Close",61.1,1A,P002_CityCentreSouth
Cowgate,"Old Town","Old Fishmarket Close","Stevenlaw's Close",83.88,1A,P002_CityCentreSouth
Cowgate,"Old Town","Stevenlaw's Close","Blair Street",37.22,1A,P002_CityCentreSouth
Cowgate,"Old Town","Niddry Street","Robertson's Close",20.62,1A,P002_CityCentreSouth
Cowgate,"Old Town","South Gray's Close","St Mary's Street",92.48,1A,P002_CityCentreSouth
Cowgate,"Old Town","Robertson's Close","High School Wynd",45.28,1A,P002_CityCentreSouth
Cowgate,"Old Town","High School Wynd","South Gray's Close",54.03,1A,P002_CityCentreSouth
Cowgatehead,"Old Town",Grassmarket,"Candlemaker Row",40.11,1A,P002_CityCentreSouth
"Craigcrook Road",Blackhall,"Craigcrook Road","Craigcrook Park",134.7,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Brae","Craigcrook Road",187.5,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"March Pines","March Road",72.64,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Road","March Pines",33.65,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Cottage Park","Strachan Road",113.8,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Craigcrook Park","Cottage Park",108.1,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Loch Road","Hillpark Brae",39.84,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Green","Loch Road",107.1,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Terrace","Hillpark Green",157,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"March Road","Hillpark Terrace",34.44,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Crescent","Hillpark Road",98.8,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillhouse Road","Hillpark Drive",103.5,1B,P020_Blackhall_Craig
"Craigcrook Road",Blackhall,"Hillpark Drive","Hillpark Crescent",100.1,1B,P020_Blackhall_Craig
"Craigentinny Road",Craigentinny,"Sleigh Drive","Craigentinny Road",101,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Loganlea Road","Britwell Crescent",102,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Christie Miller Avenue","Sydney Terrace",103.6,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Vandeleur Avenue","Kekewich Avenue",94.54,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Sydney Terrace","Vandeleur Avenue",90.26,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Craigentinny Avenue","Britwell Crescent",103.9,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Craigentinny Avenue","Christie Miller Avenue",87.14,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Craigentinny Road","Restalrig Drive",88.78,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Restalrig Drive","Loaning Road",131.2,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Loaning Road","Loganlea Drive",90.94,1B,P024_Lochend_Restalr
"Craigentinny Road",Craigentinny,"Loganlea Drive","Loganlea Road",132.7,1B,P024_Lochend_Restalr
"Craighall Avenue",Newhaven,"Craighall Road","Craighall Bank",29.12,1B,P026_Trinity
"Craighall Avenue",Newhaven,"Craighall Bank","End of cul de sac",73.66,1B,P026_Trinity
"Craighall Bank",Newhaven,"Craighall Avenue","End of cul de sac",42.32,1B,P026_Trinity
"Craighall Road",Trinity,"Craighall Terrace","Craighall Gardens",102.6,1B,P026_Trinity
"Craighall Road",Trinity,"Chancelot Terrace","Craighall Terrace",117.6,1B,P026_Trinity
"Craighall Road",Trinity,"Craighall Crescent","East Trinity Road",75.95,1B,P026_Trinity
"Craighall Road",Trinity,Grandfield,Grandville,66.24,1B,P026_Trinity
"Craighall Road",Trinity,"Craighall Gardens",Grandfield,82.46,1B,P026_Trinity
"Craighall Road",Trinity,"East Trinity Road","Starbank Road",295.9,1B,P026_Trinity
"Craighall Road",Trinity,Grandville,"Craighall Crescent",97.43,1B,P026_Trinity
"Craighouse Road","Easter Craiglockhart","Craighouse Gardens","Craighouse Road",160.5,1B,P017_Morningside_Bru
"Craighouse Road","Easter Craiglockhart","Craighouse Gardens","Myreside Road",140.4,1B,P017_Morningside_Bru
"Craigleith Avenue North",Ravelston,"Craigleith Crescent","Ravelston Garden",186.4,1B,P028_Roseburn
"Craigleith Crescent",Ravelston,"Craigleith Avenue North","Craigleith Gardens",129.6,1B,P028_Roseburn
"Craigleith Crescent",Ravelston,"Ravelston Dykes","Craigleith View",124.6,1B,P028_Roseburn
"Craigleith Crescent",Ravelston,"Craigleith View","Craigleith Avenue South",61.54,1B,P028_Roseburn
"Craigleith Crescent",Ravelston,"Craigleith Avenue South","Craigleith Avenue North",58.52,1B,P028_Roseburn
"Craigleith Road",Craigleith,"Craigleith Hill","Orchard Drive",273.8,1B,P020_Blackhall_Craig
"Craigleith Road",Craigleith,"Craigleith Hill Crescent","Orchard Bank",206.6,1B,P020_Blackhall_Craig
