"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Hope Lane","Portobello East","Brand Drive","Duddingston Crescent",73.79,1B,P023_Portobello
"Hope Park Crescent",Newington,"Buccleuch Terrace","Melville Drive",87.2,1B,P018_Sciennes_Newing
"Hope Park Terrace",Newington,"Melville Drive","Bernard Terrace",119.1,1B,P018_Sciennes_Newing
"Hope Street","New Town","Hope Street Lane","End of cul de sac",67.39,1A,P001_CityCentreNorth
"Hope Street","New Town","Queensferry Street","Hope Street Lane",47.86,1A,P001_CityCentreNorth
"Hopetoun Road","South Queensferry","Villa Road","Springwell Terrace",15.96,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry","Hopetoun Road","Villa Road",62.62,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry","Rose Lane","Hopetoun Road",80.63,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry","The Loan","Rose Lane",73.12,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry","Morison Gardens","Stewart Terrace",73.4,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry",Plewlandcroft,"Morison Gardens",64.39,1B,"P015_South Queensfer"
"Hopetoun Road","South Queensferry","Springwell Terrace",Plewlandcroft,93.01,1B,"P015_South Queensfer"
"Hoseason Gardens",Clerwood,"Rannoch Terrace","Drum Brae Drive",90.29,1B,P014_Clermiston_Cram
"House O'hill Terrace",Corbiehill,"Seaforth Drive","Gardiner Road",35.02,1B,P020_Blackhall_Craig
"House O'hill Terrace",Corbiehill,"Gardiner Road",Hillview,54.64,1B,P020_Blackhall_Craig
"Howard Place",Warriston,"Inverleith Terrace Lane","Warriston Crescent",100.8,1B,P027_Stockbridge
"Howard Place",Warriston,"Inverleith Row","Inverleith Terrace Lane",54.85,1B,P027_Stockbridge
"Howard Street",Warriston,"End of cul de sac","Howard Street",34.13,1B,P027_Stockbridge
"Howard Street",Warriston,"Howard Street","Canonmills Bridge",24.91,1B,P027_Stockbridge
"Howard Street",Warriston,"Howard Street","Howard Street",21.67,1B,P027_Stockbridge
"Howden Hall Road",Gracemount,"Howden Hall Road","Alnwickhill Road",118.3,1A,P003_Liberton
"Howden Hall Road",Gracemount,"Howden Hall Road","Howden Hall Road",108.1,1A,P003_Liberton
"Howden Hall Road",Gracemount,"Balmwell Terrace","Howden Hall Road",214.1,1A,P003_Liberton
"Howden Hall Road",Gracemount,"Burdiehouse Road","Balmwell Terrace",132.8,1A,P003_Liberton
"Howe Street",Stockbridge,"Heriot Row","Northumberland Street",109.9,1A,P001_CityCentreNorth
"Howe Street",Stockbridge,"South East Circus Place","Great King Street",57.98,1A,P001_CityCentreNorth
"Howe Street",Stockbridge,"Northumberland Street","South East Circus Place",57.28,1A,P001_CityCentreNorth
"Hutchison Avenue",Slateford,"Hutchison Crossway","Hutchison Medway",110.4,1B,P029_Gorgie_Slatefor
"Hutchison Avenue",Slateford,"Hutchison Loan","Hutchison Place",114.9,1B,P029_Gorgie_Slatefor
"Hutchison Avenue",Slateford,"Hutchison Loan","Chesser Avenue",111.5,1B,P029_Gorgie_Slatefor
"Hutchison Avenue",Slateford,"Hutchison Place","Hutchison Medway",112.6,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Eltringham Terrace","Hutchison Crossway",106.7,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Gorgie Road","Hutchison View",59.41,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Hutchison View","Eltringham Terrace",35.23,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Hutchison Road","End of cul de sac",77.01,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Slateford Road","Hutchison Avenue",171.7,1B,P029_Gorgie_Slatefor
"Hutchison Crossway",Slateford,"Hutchison Avenue","Hutchison Road",74.65,1B,P029_Gorgie_Slatefor
"Hutchison Gardens",Slateford,"Hutchison Loan","Hutchison Loan",110,1B,P029_Gorgie_Slatefor
"Hutchison Loan",Slateford,"End of cul de sac","Hutchison Gardens",36.81,1B,P029_Gorgie_Slatefor
"Hutchison Loan",Slateford,"Hutchison Avenue","Hutchison Gardens",54.61,1B,P029_Gorgie_Slatefor
"Hutchison Loan",Slateford,"Hutchison Road","Hutchison Avenue",99.87,1B,P029_Gorgie_Slatefor
"Hutchison Medway",Slateford,"Hutchison Avenue","Hutchison Medway",109.7,1B,P029_Gorgie_Slatefor
"Hutchison Medway",Slateford,"Hutchison Medway","Hutchison Place",116.3,1B,P029_Gorgie_Slatefor
