Location,"Reference No",Position
"Bryce Crescent",17404015,"At 6."
"Bryce Crescent",17404018,"Between 6 and 15."
"Bryson Road",17404024,"At Tay Street."
"Bryson Road",17404021,"At opening opposite 33."
"Buckingham Terrace",17404027,"Against wall at top of railings on garden side and opposite house 40."
"Buckstane Park",12132727,"On footway outside house 3."
"Buckstone Avenue",17404030,"At 5."
"Buckstone Circle",12104848,"Opposite Buckstone Crook."
"Buckstone Circle",12104782,"Opposite Buckstone Shaw."
"Buckstone Crescent",17406992,"in front of 18b"
"Buckstone Crescent",17404033,"At Buckstone Road."
"Buckstone Crescent",12105946,"Outside 15 at lighting column BYZ05."
"Buckstone Crescent",12105718,"At lighting column in front of house 83."
"Buckstone Crescent",12130336,"At lighting column along path between houses 70 & 72."
"Buckstone Crescent",12105742,"At lighting column in front of house 69 at opposite  end of Buckstone Row."
"Buckstone Crescent",12105808,"On footpath in front of house 57 and at foot of Buckstone Hill."
"Buckstone Crook",12104947,"In parking lay by opposite side of 6."
"Buckstone Dell",17404036,"At 35."
"Buckstone Drive",17404042,"At Buckstone Grove."
"Buckstone Drive",17404039,"Outside 22 at lighting column BZC10."
"Buckstone Grove",17407682,"At cul-de-sac."
"Buckstone Hill",12106168,"At 29."
"Buckstone Hill",17404045,"Opposite 59."
"Buckstone Hill",12106195,"Outside number 16."
"Buckstone Howe",17442464,"At Buckstone Circle."
"Buckstone Lea",17404048,"At 15."
"Buckstone Lea",12105484,"Outside 36."
"Buckstone Loan",12304315,"At lighting column BLZ19, by side of 18 Buckstone Circle."
"Buckstone Loan East",17404051,"At entrance to primary school."
"Buckstone Loan East",12104509,"Against railings between houses 55 and 57 at opposite end of Buckstone Gate."
"Buckstone Neuk",12106333,"At side of numbers 1."
"Buckstone Place",17404054,"Outside house 15."
"Buckstone Rise",17442524,"Outside No 16 at side of L/P BZR03"
"Buckstone Road",17406999,"in front of no 93"
"Buckstone Road",17404060,"Opposite Buckstone Loan."
"Buckstone Road",12303670,"At lighting column east of 8, at entrance to cul-de-sac."
"Buckstone Road",12303892,"Outside 17."
"Buckstone Road",12305200,"Outside 96."
"Buckstone Road",17404063,"At 26."
"Buckstone Road",17404057,"At Buckstone Terrace."
"Buckstone Shaw",12105088,"At bushes opposite number 15."
"Buckstone Terrace",12347737,"opposite no 17"
"Buckstone Terrace, Comiston Rd",17406989,"in front of no 10"
"Buckstone View",12130600,"At lighting column in front of house 3 at top of cul-de-sac."
"Buckstone Wood",12304684,"Against concrete wall at lighting column BBZ3 near bottom of cul-de-sac."
"Buckstone Wood",17404066,"Outside 10."
"Bughtlin Drive",12836624,"At lighting column in front of house 17."
